gov_id,amount
13460,360104.0
13460,167345.0
13460,63720.0
13460,11960.0
17126,130775.0
17126,68680.0
17126,57405.0
17126,46600.0
17126,53270.0
17126,26955.0
17126,3740.0
17126,1350.0
21389,415865.0
21389,119751.0
21389,28667.0
21389,5575.0
21930,259383.0
21930,35530.0
21930,1055.0
23322,140351478.0
23322,84817996.0
23322,44379087.0
23322,38917959.0
23322,67346401.0
23322,20028748.0
23322,13146440.0
23322,4979756.0
23322,2683409.0
23322,2547895.0
23322,692803.0
23322,236495.0
23322,64560.0
23614,1816367.0
23614,1160717.0
23614,977851.0
23614,395575.0
23614,1177072.0
23614,541984.0
23614,221275.0
23614,113506.0
23614,25076.0
23614,16236.0
23614,11250.0
23614,5042.0
23614,540.0
24046,251624.0
24046,74804.0
24046,27515.0
24046,14195.0
24046,610.0
24086,81850.0
24086,16450.0
24086,12650.0
24086,2400.0
24086,2500.0
25044,2767891.0
25044,1343836.0
25044,718687.0
25044,467377.0
25044,251618.0
25044,150288.0
25044,63285.0
25044,30050.0
25044,21284.0
25044,16481.0
25045,1110413.0
25045,273751.0
25045,68011.0
25045,22649.0
25045,14000.0
25045,3430.0
26305,260305.0
26305,107609.0
26305,40155.0
26305,16940.0
26305,6425.0
26439,11202664.0
26439,8285263.0
26439,4544207.0
26439,2407612.0
26439,2114145.0
26439,991911.0
26439,592703.0
26439,360894.0
26439,139874.0
26439,55055.0
26439,117620.0
26439,24065.0
26439,226768.0
26439,230241.0
26439,396195.0
26439,58436.0
26439,18533.0
26439,25740.0
26439,4600.0
26439,10920.0
26439,17175.0
26439,43200.0
26439,29930.0
26439,20360.0
26439,6375.0
26439,6225.0
26439,1575.0
26514,25770.0
26514,47700.0
26625,28117.0
26625,4633.0
26625,1465.0
26625,630.0
26779,514666.0
26779,450608.0
26779,176715.0
26779,90257.0
26779,52701.0
26779,21195.0
26779,8810.0
26779,1180.0
27106,132957.0
27106,7234.0
27106,14290.0
27343,2938901.0
27343,1166931.0
27343,503971.0
27343,120916.0
27343,71154.0
27343,23255.0
27343,5810.0
27343,2820.0
27899,39730790.0
27899,33503815.0
27899,25497646.0
27899,20323715.0
27899,10663191.0
27899,9314047.0
27899,4422028.0
29081,1141620.0
29081,692234.0
29081,332841.0
29081,215172.0
29081,101504.0
29081,70840.0
29081,57970.0
29081,35460.0
29081,36210.0
29081,10710.0
29081,10930.0
29111,1397443.0
29111,1291714.0
29111,1426098.0
29111,1470337.0
29111,2680018.0
29111,749499.0
29111,9816.0
29111,763740.0
29111,1214770.0
29111,893820.0
29111,139300.0
29111,416050.0
29111,422410.0
29111,378400.0
29111,444020.0
29111,199600.0
29111,538010.0
29111,446520.0
29111,431770.0
29111,540670.0
29111,581680.0
29111,765220.0
29111,1369410.0
29111,853630.0
29111,1142210.0
29111,492360.0
29111,382370.0
29111,1216590.0
29111,411050.0
29111,74000.0
29111,78900.0
29111,63000.0
29111,93080.0
29111,90760.0
29111,15640.0
29111,60610.0
29111,47350.0
29111,143990.0
29111,24840.0
29378,1522854.0
29378,1144142.0
29378,822684.0
29378,385607.0
29378,118060.0
29378,58535.0
29380,330969.0
29380,57998.0
29380,10350.0
29380,1680.0
29380,35110.0
29513,579082.0
29513,151704.0
29513,45877.0
29513,24646.0
29513,6180.0
29513,1360.0
29611,967163.0
29611,727055.0
29611,522227.0
29611,293229.0
29611,281873.0
29611,178623.0
29611,120734.0
29611,126572.0
29611,135840.0
29611,85896.0
29611,171800.0
29611,401524.0
29611,23460.0
29611,93943.0
29611,187484.0
29611,273350.0
29611,198720.0
29611,269150.0
29611,62190.0
29611,92850.0
29611,26700.0
29611,33150.0
29611,38180.0
29611,42000.0
29611,17920.0
29611,26600.0
29611,27350.0
29611,67950.0
29611,14260.0
29611,32830.0
29611,48000.0
29611,14040.0
29611,38930.0
29611,18900.0
29611,36480.0
29611,10350.0
29611,28350.0
29611,26200.0
29653,20411492.0
29653,17039781.0
29653,10402219.0
29653,8061915.0
29653,5584329.0
29653,3034197.0
29653,8322085.0
29653,8827042.0
29653,3781176.0
29653,3348085.0
29653,3721128.0
29653,1430400.0
29653,1123386.0
29653,1290725.0
29653,961545.0
29653,469610.0
29653,637975.0
29653,190610.0
29831,1065539.0
29831,386441.0
29831,138003.0
29831,64035.0
29831,26440.0
29831,8480.0
29831,1000.0
29882,2045706.0
29882,1095851.0
29882,714779.0
29882,485815.0
29882,114753.0
29882,198080.0
29882,134210.0
29882,31230.0
30021,29293.0
30021,16860.0
30062,8685.0
30062,2000.0
30155,272208.0
30155,93530.0
30155,44370.0
30155,29780.0
30155,17460.0
30155,15960.0
30366,1682023.0
30366,848181.0
30366,270560.0
30366,88553.0
30366,19890.0
30366,2250.0
30366,540.0
30436,1080.0
30497,390368.0
30497,226060.0
30497,130764.0
30497,18410.0
30497,120730.0
30497,60690.0
30497,440.0
30497,18900.0
30497,11040.0
30530,887446.0
30530,647517.0
30530,453734.0
30530,540209.0
30530,577127.0
30530,324223.0
30530,297525.0
30530,136120.0
30530,299350.0
30530,67880.0
30530,167880.0
30530,200630.0
30530,525900.0
30530,171540.0
30530,188570.0
30530,137870.0
30530,13570.0
30530,27360.0
30530,490110.0
30530,82710.0
30530,54890.0
30560,421587.0
30560,268403.0
30560,188108.0
30560,110879.0
30560,69095.0
30560,44780.0
30560,38955.0
30560,16525.0
30560,21230.0
30560,15475.0
30560,33550.0
30560,11375.0
30560,5530.0
30636,2930.0
30636,1530.0
30636,660.0
30655,1099585.0
30655,457145.0
30655,100095.0
30655,55550.0
30655,8800.0
30655,65450.0
30699,51255.0
30699,15655.0
30699,7320.0
30704,3858264.0
30704,2758982.0
30704,2914477.0
30704,2381490.0
30704,2172858.0
30704,1610582.0
30704,1654980.0
30704,1496264.0
30704,1505665.0
30704,1577608.0
30704,682660.0
30704,605764.0
30704,411995.0
30704,593465.0
