feature,importance
boxoffice_week_1,181
audience_week_1,72
open_week1_boxoffice,71
audience_week_2,56
open_week1_boxoffice_daily_avg,54
screens_week_2,51
boxoffice_week_2,42
film_length,36
current_week_active_idx,26
open_week1_days,21
open_week2_boxoffice,17
release_month_sin,16
screens_week_1,15
release_year,6
release_month_cos,5
gap_real_week_2to1,0
round_idx,0
gap_real_week_1tocurrent,0
is_restricted,0
