gov_id,gov_title_zh,gov_title_en,region,rating,official_release_date,publisher,film_length,director,actor_list,source_file,imdb_id,imdb_rating
30808,滿血復活,BRING HER BACK,美國,限制級,2025/5/27,美商台灣索尼影業發行股份有限公司台灣分公司,104,麥可菲利浦; 丹尼菲利普,莎莉霍金斯,30808_滿血復活.csv,tt32246771,7.2
30809,名偵探柯南 獨眼的殘像,Detective Conan The Movie: One-Eyed Flashback,日本,保護級,2025/6/25,普威爾國際股份有限公司,109,,,30809_名偵探柯南 獨眼的殘像.csv,tt35444710,6.8
30863,我家妹妹不准嫁,Will You Marry Monk?,泰國,輔12級,2025/6/6,仲業股份有限公司,90,沃拉武塔溫威西瓦特; 翁加特切姆查倫波恩庫爾; 維拉瓦查約柴孔,鄭壹飛; 可恩娜帕瑟塔拉達那彭; 亞瑞克阿莫蘇帕西瑞,30863_我家妹妹不准嫁.csv,tt35449514,7.1
30864,世界就是這樣結束的,The End,英國,輔12級,2025/10/9,東昊影業有限公司,148,約書亞奧本海默,蒂妲絲雲頓; 喬治麥凱; tim mcinnerny; 麥可夏儂,30864_世界就是這樣結束的.csv,tt0077504,6.1
30960,28年毀滅倒數,28 YEARS LATER,美國,限制級,2025/6/17,美商台灣索尼影業發行股份有限公司台灣分公司,114,丹尼鮑伊,阿爾菲威廉斯; 雷夫范恩斯; 亞倫泰勒強森; 茱蒂康默,30960_28年毀滅倒數.csv,tt10548174,6.6
31027,F1電影,F1,美國,保護級,2025/6/24,美商華納兄弟（遠東）股份有限公司台灣分公司,155,喬瑟夫柯辛斯基,凱莉肯頓; 哈維爾巴登; 達姆森伊卓瑞斯; 布萊德彼特,31027_F1電影.csv,tt16311594,7.7
31037,暗影部隊,SHADOW FORCE,美國,輔12級,2025/10/3,車庫娛樂股份有限公司,103,喬卡納漢,馬克史壯; 歐馬希; 凱莉華盛頓,31037_暗影部隊.csv,tt11092020,4.7
31082,地球特派員,ELIO,美國,普遍級,2025/7/2,台灣華特迪士尼股份有限公司,97,石之予; 瑪德琳夏拉菲安; 阿德里安莫里納,雪莉韓德森; 柔伊莎達娜; 瑞蜜艾格莉; 賈米拉賈米爾; 布萊德嘉瑞特; 尤納斯基布里布,31082_地球特派員.csv,tt4900148,6.7
31123,侏羅紀世界：重生,JURASSIC WORLD REBIRTH,美國,保護級,2025/7/1,美商美國環球影片股份有限公司台灣分公司,133,蓋瑞斯愛德華,喬納森拜利; 馬奴賈西亞魯爾福; 魯柏佛蘭德; 馬赫夏拉阿里; 史嘉蕾喬韓森,31123_侏羅紀世界：重生.csv,tt31036941,5.9
31128,窒友梅根 2.0,M3GAN 2.0,美國,輔15級,2025/6/27,美商美國環球影片股份有限公司台灣分公司,119,傑拉德約翰史東,愛莉森威廉絲; 艾蜜唐納德; 伊凡娜莎克諾; 珍娜戴維斯; 任范愛普斯; 維奧萊麥克羅,31128_窒友梅根 2.0.csv,tt26342662,6.1
31158,黑白線人,Yadang: The Snitch,韓國,限制級,2025/9/5,可樂藝術文創股份有限公司,122,黃炳國,姜河那; 朴海俊; 柳海真,31158_黑白線人.csv,tt35851026,6.6
31159,皇家保姆亞瑟,OUT OF THE NEST,泰國,普遍級,2025/10/3,可樂藝術文創股份有限公司,85,阿圖羅a赫南德茲; 安德魯戈登; 維拉帕特拉吉​​納納溫; 傑夫舒,,31159_皇家保姆亞瑟.csv,tt31520900,6.5
31186,超人,SUPERMAN,美國,保護級,2025/7/8,美商華納兄弟（遠東）股份有限公司台灣分公司,129,詹姆斯岡恩,瑪麗亞加布里埃拉法里亞; 大衛科倫斯韋; 艾迪蓋瑟吉; 尼可拉斯霍特; 伊莎貝拉莫娜; 瑞秋布羅斯納漢,31186_超人.csv,tt5950044,7.1
31190,電影哆啦A夢：大雄的繪畫世界物語,DORAEMON THE MOVIE: NOBITA'S ART WORLD TALES,日本,普遍級,2025/7/18,車庫娛樂股份有限公司,104,,,31190_電影哆啦A夢：大雄的繪畫世界物語.csv,tt0076759,8.6
31191,病毒,VIRUS,韓國,保護級,2025/9/19,車庫娛樂股份有限公司,98,姜利官,金倫奭; 裴斗娜; 孫錫求,31191_病毒.csv,tt0120458,5.1
31201,壞蛋聯盟 2,THE BAD GUYS 2,美國,保護級,2025/7/26,美商美國環球影片股份有限公司台灣分公司,103,皮埃爾佩里費爾,馬克馬隆; 安東尼拉莫斯; 山姆洛克威爾; 克雷格羅賓森; 奧卡菲娜,31201_壞蛋聯盟 2.csv,tt30017619,7.1
31222,與達賴喇嘛談心：尋找幸福的智慧,Wisdom of Happiness,瑞士,保護級,2025/7/20,海鵬影業有限公司,90,,,31222_與達賴喇嘛談心：尋找幸福的智慧.csv,tt33055004,7
31251,藍色小精靈大電影,SMURFS,美國,普遍級,2025/7/18,美商美國派拉蒙影片股份有限公司台灣分公司,91,馬特蘭登; 克里斯米勒,約翰古德曼; 娜塔莎諾伊尼; 寇特羅素; 詹姆斯柯登; 蕾哈娜; 漢娜沃丁厄姆,31251_藍色小精靈大電影.csv,tt18069420,4.3
31301,我在荒野做了一場夢,Seven Ages of a Man,中華民國,普遍級,2025/8/22,牽猴子股份有限公司,103,沈可尚,徐仁修; 徐仁修,31301_我在荒野做了一場夢.csv,tt38284699,4.3
31305,世紀編舞大師,Cranko (John Cranko),德國,輔12級,2025/9/5,聯影企業股份有限公司,139,約阿希姆朗; 約阿希姆朗,山姆萊利,31305_世紀編舞大師.csv,tt33294838,6.9
31329,全知讀者視角,Omniscient Reader,韓國,輔12級,2025/7/21,采昌國際多媒體股份有限公司,116,金秉祐,蔡秀彬; 林珍娜; 安孝燮; 李敏鎬; 金智秀; 申承浩,31329_全知讀者視角.csv,tt30254719,5.6
31352,驚奇4超人：第一步,The Fantastic Four: First Steps,美國,保護級,2025/7/23,台灣華特迪士尼股份有限公司,114,麥特夏克曼,凡妮莎寇比; 艾邦摩斯貝克許; 喬瑟夫昆恩; 佩德羅帕斯卡,31352_驚奇4超人：第一步.csv,tt10676052,7
31355,電影蠟筆小新：超華麗！灼熱的春日部舞者們,CRAYON SHINCHAN THE MOVIE: SUPER HOT! THE SPICY KASUKABE DANCERS,日本,普遍級,2025/8/22,車庫娛樂股份有限公司,105,,,31355_電影蠟筆小新：超華麗！灼熱的春日部舞者們.csv,tt35009463,6.9
31364,凶器,WEAPONS,美國,限制級,2025/8/8,美商華納兄弟（遠東）股份有限公司台灣分公司,128,札克克瑞格,黃凱旋; 艾美麥蒂根; 朱莉亞嘉納; 喬許布洛林,31364_凶器.csv,tt26581740,7.5
31365,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,Demon Slayer：Kimetsu no Yaiba Infinity Castle,日本,輔12級,2025/8/6,木棉花國際股份有限公司,154,,,31365_劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲.csv,tt32820897,8.5
31402,天作之合,MATERIALISTS,美國,普遍級,2025/8/23,美商台灣索尼影業發行股份有限公司台灣分公司,116,席琳宋,克里斯伊凡; 達柯塔強生; 佩德羅帕斯卡,31402_天作之合.csv,tt30253473,6.3
31474,角頭－鬥陣欸,GATAO: Big Brothers,中華民國,限制級,2025/8/21,威視股份有限公司,123,姚宏易; 姜瑞智,高捷; 夏靖庭; 蔡振南; 太保; 龍天翔; 喜翔; 王識賢,31474_角頭－鬥陣欸.csv,tt37998920,7.2
31502,怪奇寶貝,SKETCH,美國,保護級,2025/9/5,車庫娛樂股份有限公司,92,賽斯沃利,妲西卡登; 凱隆考克斯; 比安卡貝爾; 托尼海爾; 庫勞倫斯,31502_怪奇寶貝.csv,tt26238710,6.7
31507,一兆$遊戲　劇場版,Trillion Game the Movie,日本,保護級,2025/8/15,天馬行空數位有限公司,117,,,31507_一兆$遊戲　劇場版.csv,tt0399877,5.2
31520,龍之心-靈界探訪記-,ドラゴン・ハート-霊界探訪記-,日本,輔12級,2025/8/30,台灣幸福科學出版有限公司,119,今掛勇,深見梨加; 廣瀨千夏; 淺野真澄,31520_龍之心-靈界探訪記-.csv,tt36551651,5.2
31523,樂來越愛你,La La Land,英國,普遍級,2025/9/12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,127,,,31523_樂來越愛你.csv,tt3783958,8
31531,詭鄉,Eerie Hometown,中華民國,輔12級,2025/9/19,威視股份有限公司,93,馬新語,初孟軒; 雷嘉汭; 張翰 (ii); 王滿嬌,31531_詭鄉.csv,tt38355705,4.3
31541,熱烈,One and Only,中國大陸,普遍級,2025/9/26,恆星多媒體股份有限公司,123,大鵬,王一博; 黃渤,31541_熱烈.csv,tt20865078,6.8
31547,辣媽辣妹2,Freakier Friday,美國,普遍級,2025/8/18,台灣華特迪士尼股份有限公司,110,妮莎嘉娜卓,潔美李寇蒂斯; 茱利亞芭特絲; 查德麥可莫瑞; 索菲亞漢門斯; 琳賽蘿涵,31547_辣媽辣妹2.csv,tt31956415,6.5
31570,無名指,My First of May,香港,普遍級,2025/9/19,華映國際文創股份有限公司,91,孔令政,許恩怡; 郭富城; 梁詠琪; 譚耀文; 鮑起靜,31570_無名指.csv,tt35724928,6.3
31596,厲陰宅：最終聖事,The Conjuring：Last Rites,美國,輔15級,2025/9/3,美商華納兄弟（遠東）股份有限公司台灣分公司,135,麥可查維斯,薇拉法蜜嘉; 派翠克威爾森,31596_厲陰宅：最終聖事.csv,tt22898462,6.3
31650,親愛的家人,DEAR FAMILY,日本,普遍級,2025/9/5,車庫娛樂股份有限公司,116,月川翔,大泉洋; 菅野美穗; 福本莉子,31650_親愛的家人.csv,tt31735255,6.6
31651,永遠在一起,TOGETHER,美國,輔15級,2025/9/26,采昌國際多媒體股份有限公司,101,麥可山克斯,戴夫法蘭科; 愛莉森布里,31651_永遠在一起.csv,tt31184028,6.7
31654,電影版小林家的龍女僕：害怕寂寞的龍,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,日本,保護級,2025/9/9,采昌國際多媒體股份有限公司,104,石原立也,高橋未奈美; 長繩麻理亞; 高田憂希; 高橋未奈美; 桑原由氣; 田村睦心; 高田憂希,31654_電影版小林家的龍女僕：害怕寂寞的龍.csv,tt36592985,8.2
31662,淒厲人師,The Tutor,泰國,輔12級,2025/9/26,原創娛樂股份有限公司,107,布蘭戴德斯德,芽芽茵; 索蘭拉姆阿內拉普; 尼措空卡瓊伯利叻; 鄭子忠; 因托楚克倥拉瑪蘇皖,31662_淒厲人師.csv,tt19637278,4.8
31668,突破:三千米的泳氣,Second Life,中華民國,保護級,2025/10/3,春暉映像有限公司,123,,,31668_突破_三千米的泳氣.csv,tt1285248,4.1
31670,搖籃凡世,Pavane for an Infant,馬來西亞,輔12級,2025/9/19,海鵬影業有限公司,116,張吉安,許恩怡; 廖子妤,31670_搖籃凡世.csv,tt33096017,7.2
31679,凌晨兩點的惡魔,PRETTY CRAZY,韓國,普遍級,2025/8/29,車庫娛樂股份有限公司,112,李相槿; 李相槿,成東鎰; 潤娥; 安普賢,31679_凌晨兩點的惡魔.csv,tt35382678,6.6
