gov_id,title_zh,total_amount,avg_amount_per_week,decline_rate_mean,is_long_tail,release_days,release_round,previous_total_amount,re_release_gap_days,long_tail_strength,region,movie_class,publisher
30717,馴龍高手,131971183.0,5998690.14,1.973,True,154,1,0.0,0,-3.050835872099063,美國,普遍級,美商美國環球影片股份有限公司台灣分公司
30738,星際寶貝：史迪奇,105651491.0,5031023.38,-0.215,True,154,1,0.0,0,2.4613629595043824,美國,保護級,台灣華特迪士尼股份有限公司
30739,不可能的任務：最終清算,453190315.0,18127612.6,-0.19,True,175,1,0.0,0,2.639058195797401,美國,輔12級,美商美國派拉蒙影片股份有限公司台灣分公司
30808,滿血復活,29603.0,14801.5,0.0,False,21,2,5660743.0,50,1.3862943611198906,美國,限制級,美商台灣索尼影業發行股份有限公司台灣分公司
30809,名偵探柯南 獨眼的殘像,214891969.0,11310103.63,-0.133,True,133,1,0.0,0,2.59729988117131,日本,保護級,普威爾國際股份有限公司
30863,我家妹妹不准嫁,1303617.0,325904.25,-0.356,False,28,1,0.0,0,1.0364780156075606,泰國,輔12級,仲業股份有限公司
30864,世界就是這樣結束的,358553.0,89638.25,-0.278,False,28,1,0.0,0,1.1620141727774205,英國,輔12級,東昊影業有限公司
30960,28年毀滅倒數,114850.0,28712.5,0.543,False,28,2,20715296.0,29,0.7355131259823837,美國,限制級,美商台灣索尼影業發行股份有限公司台灣分公司
31027,F1電影,570415385.0,30021862.37,-0.257,True,133,1,0.0,0,2.225829079250615,美國,保護級,美商華納兄弟（遠東）股份有限公司台灣分公司
31037,暗影部隊,1264642.0,252928.4,-0.587,False,35,1,0.0,0,0.7399966607911868,美國,輔12級,車庫娛樂股份有限公司
31082,地球特派員,36551647.0,2030647.06,10.918,True,126,1,0.0,0,-29.202945795372752,美國,普遍級,台灣華特迪士尼股份有限公司
31123,侏羅紀世界：重生,299137668.0,16618759.33,-0.279,True,126,1,0.0,0,2.1229405039790032,美國,保護級,美商美國環球影片股份有限公司台灣分公司
31128,窒友梅根 2.0,87265.0,17453.0,-0.12,False,35,2,12288830.0,22,1.5767483329206884,美國,輔15級,美商美國環球影片股份有限公司台灣分公司
31158,黑白線人,1129371.0,225874.2,-0.481,False,35,1,0.0,0,0.9299231645293605,韓國,限制級,可樂藝術文創股份有限公司
31159,皇家保姆亞瑟,165385.0,33077.0,-0.427,False,35,1,0.0,0,1.0266781758676755,泰國,普遍級,可樂藝術文創股份有限公司
31186,超人,87895470.0,5493466.88,-0.429,True,119,1,0.0,0,1.6504022737587098,美國,保護級,美商華納兄弟（遠東）股份有限公司台灣分公司
31190,電影哆啦A夢：大雄的繪畫世界物語,58218665.0,3638666.56,-0.259,True,112,1,0.0,0,2.099411087945656,日本,普遍級,車庫娛樂股份有限公司
31191,病毒,783935.0,195983.75,-0.584,False,28,1,0.0,0,0.6695261715725858,韓國,保護級,車庫娛樂股份有限公司
