模型,MAE,RMSE,R²
Linear Regression,369320.4462121687,1127099.0207849692,0.06289745246000333
LightGBM,418842.9244612776,1054331.311049541,0.1799937133429419
Decision Tree,218723.04016940852,644208.4207989019,0.6938630377692934
