gov_id,title_zh,release_round,is_re_release,official_release_date_x,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,momentum_3w,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount,same_class_amount_last_week,market_heat_level,gov_title_zh,gov_title_en,region,movie_class,official_release_date_y,publisher,film_length,director,actor_list,source_file,long_tail_strength,retention_index
24086,Fishmans,1,False,2023-04-21,2023-04-17,2023-06-04,49,7,7,398633.0,1651.0,56947.57,235.86,177625.0,2023-04-24~2023-04-30,8,4.86,-0.276,-0.538,-0.236,0.042,False,下檔,2023-04-17,2025-11-03 11:04:38,-0.802,7.62,0,2,衰退,需行動,241.45,0,0.0,0,0.0,4661519.714814815,D,Fishmans,The Fishmans Movie,日本,普遍級,2023-04-21,造次文化有限公司,,,,24086_Fishmans.csv,1.5886933378433945,0.882
25044,之前的我們,2,True,2023-07-28,2024-12-30,2025-02-23,56,8,7,4440.0,17.0,634.29,2.43,1600.0,2025-02-03~2025-02-09,2,1.14,-0.304,-0.119,0.521,0.0,False,下檔,2023-07-24,2025-11-03 11:04:38,2.156,0.0,1,2,成長中,正常,261.18,1,8309019.0,442,692418.25,2439313.4121276597,E,之前的我們,PAST LIVES,美國,普遍級,2023-07-28,車庫娛樂股份有限公司,,席琳宋,劉台午; 約翰馬加羅; 葛麗塔李,25044_之前的我們.csv,1.052470572544049,0.677
25045,鬼手鬼手 請開口,4,True,2023-08-11,2025-09-15,2025-10-12,28,4,3,44381.0,158.0,14793.67,52.67,16671.0,2025-09-15~2025-09-21,1,1.0,-0.136,-0.106,-0.025,-0.076,False,下檔,2023-08-07,2025-11-03 11:04:38,-0.202,0.0,2,3,衰退,正常,280.89,3,7157278.0,50,299959.36,153621.79833333334,E,鬼手鬼手 請開口,Talk to Me,英國,輔15級,2023-08-11,薩摩亞商雄讚股份有限公司台灣分公司,,麥可菲利浦; 丹尼菲利普,蘇菲魏爾德; 柔伊泰拉克斯; 喬伯德; 克里斯阿洛西奧,25045_鬼手鬼手 請開口.csv,1.5692019646232478,0.8625
26305,夢行者保羅,2,True,2023-12-04,2025-09-15,2025-10-19,35,5,3,41074.0,153.0,13691.33,51.0,18000.0,2025-09-29~2025-10-05,1,1.0,0.766,0.241,0.0,0.0,False,下檔,2023-12-04,2025-11-03 11:04:38,0.264,0.0,1,3,成長中,正常,268.46,1,2743366.0,603,391909.43,2439313.4121276597,E,夢行者保羅,DREAM SCENARIO,美國,輔12級,2023-12-04,車庫娛樂股份有限公司,,克里斯多佛博格利,麥可塞拉; 狄倫貝克; 尼可拉斯凱吉; 茱莉安娜妮克遜,26305_夢行者保羅.csv,1.791759469228055,0.8
26439,鬼才之道,1,False,2024-08-07,2024-08-05,2025-03-09,217,31,29,61115916.0,234016.0,2107445.38,8069.52,14935288.0,2024-08-05~2024-08-11,99,34.17,-0.319,-0.264,0.174,-0.747,True,下檔,2024-08-05,2025-11-03 11:04:38,-0.753,8.57,5,4,衰退,需行動,261.16,0,0.0,0,0.0,3483269.1605,A,鬼才之道,Dead Talents Society,中華民國,輔12級,2024-08-07,牽猴子股份有限公司,,徐漢強,百白; 陳柏霖; 張榕容; 王淨; 曾威豪; 姚以緹,26439_鬼才之道.csv,2.8626978557125744,0.880741935483871
26514,紅豬,2,True,2024-01-01,2025-09-01,2025-10-19,49,7,7,11458379.0,42785.0,1636911.29,6112.14,6081169.0,2025-09-01~2025-09-07,88,55.57,-0.427,-0.558,-0.575,-0.882,False,下檔,2024-10-14,2025-11-03 11:04:38,-0.962,9.81,6,2,衰退,需行動,267.81,1,57760.0,302,19253.33,4661519.714814815,B,紅豬,Porco Rosso,日本,普遍級,2024-01-01,香港商甲上娛樂有限公司台灣分公司,,宮崎駿,岡村明美; 上條恆彥; 桂三枝; 森山周一郎; 加藤登紀子,26514_紅豬.csv,0.8837626552139303,0.7125
26625,貓王與我,2,True,2024-01-26,2025-09-22,2025-10-12,21,3,2,25650.0,92.0,12825.0,46.0,15510.0,2025-09-22~2025-09-28,1,1.0,-0.346,0.0,0.0,0.0,False,下檔,2024-01-22,2025-11-03 11:04:38,0.0,0.0,1,2,穩定,正常,278.8,1,630041.0,568,105006.83,2439313.4121276597,E,貓王與我,PRISCILLA,美國,保護級,2024-01-26,車庫娛樂股份有限公司,,蘇菲亞柯波拉,卡莉史派妮; 雅各艾洛迪,26625_貓王與我.csv,1.3862943611198906,0.8333333333333333
26779,夢想集中營,2,True,2024-02-23,2025-09-22,2025-10-12,21,3,2,115875.0,414.0,57937.5,207.0,76975.0,2025-09-22~2025-09-28,1,1.0,-0.495,0.0,0.0,0.0,False,下檔,2024-02-19,2025-11-03 11:04:38,0.0,0.0,1,2,穩定,正常,279.89,1,3187111.0,512,318711.1,153621.79833333334,E,夢想集中營,THE ZONE OF INTEREST,英國,保護級,2024-02-23,車庫娛樂股份有限公司,,強納森葛雷瑟,桑德拉惠勒; 克里斯欽佛里德,26779_夢想集中營.csv,1.3862943611198906,0.8333333333333333
27106,河鰻,1,False,2025-10-03,2025-09-29,2025-11-02,35,5,5,739058.0,2713.0,147811.6,542.6,418336.0,2025-09-29~2025-10-05,14,9.2,-0.819,-0.671,0.083,-0.437,False,上映中,2025-09-29,2025-11-03 11:04:38,-0.969,9.61,4,1,衰退,需行動,272.41,0,0.0,0,0.0,3483269.1605,D,河鰻,EEL,中華民國,輔15級,2025-10-03,底噪影像有限公司,,朱駿騰,柯泯薰; 潘綱大,27106_河鰻.csv,1.6430434332821264,0.9585
27343,帝國浩劫：美國內戰,2,True,2024-04-29,2025-09-15,2025-10-19,35,5,3,38762.0,139.0,12920.67,46.33,13620.0,2025-10-13~2025-10-19,1,1.0,0.181,0.09,0.0,0.0,False,下檔,2024-04-29,2025-11-03 11:04:38,0.182,0.0,0,3,穩定,正常,278.86,1,22573750.0,435,2257375.0,2439313.4121276597,E,帝國浩劫：美國內戰,CIVIL WAR,美國,輔15級,2024-04-29,車庫娛樂股份有限公司,,艾力克斯嘉蘭,華格納莫拉; 卡莉史派妮; 尼克奧佛曼; 克絲汀鄧斯特; 史蒂芬亨德森,27343_帝國浩劫：美國內戰.csv,1.791759469228055,0.8
