feature,importance
boxoffice_week_1,148
audience_week_1,132
open_week1_boxoffice,70
boxoffice_week_2,69
film_length,53
audience_week_2,53
open_week2_boxoffice,35
screens_week_2,28
open_week1_boxoffice_daily_avg,23
current_week_active_idx,23
screens_week_1,15
release_month_cos,13
release_year,5
release_month_sin,3
open_week1_days,3
gap_real_week_2to1,0
round_idx,0
gap_real_week_1tocurrent,0
is_restricted,0
