gov_id,imdb_id,week_label,crawl_date,imdb_rating,tomatoes_rating,metacritic_rating,source,update_at,gov_title_zh
31364,tt26581740,2025W41,2025-10-28 12:29:22,7.6/10,93%,81/100,omdb,2025/10/28 12:30,凶器
31364,tt26581740,2025W43,2025-10-26 22:23:30,7.6/10,93%,81/100,omdb,2025/10/28 12:31,凶器
