gov_id,imdb_id,week_label,crawl_date,imdb_rating,tomatoes_rating,metacritic_rating,source,update_at,gov_title_zh
22894,tt0244316,2025W41,2025-10-28 12:28:50,8.1/10,,94/100,omdb,2025/10/28 12:30,一一
22894,tt0244316,2025W43,2025-10-26 22:22:20,8.1/10,,94/100,omdb,2025/10/28 12:31,一一
