gov_id,imdb_id,week_label,crawl_date,imdb_rating,tomatoes_rating,metacritic_rating,source,update_at,gov_title_zh
31769,tt10374610,2025W41,2025-10-28 12:29:51,7.3/10,88%,71/100,omdb,2025/10/28 12:30,大競走
31769,tt10374610,2025W43,2025-10-26 22:24:27,7.3/10,88%,71/100,omdb,2025/10/28 12:31,大競走
