gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30910,2025-08-15,2025-08-11~2025-08-17,159784.0,611,159784.0,611,0.0,33,2025-11-11
30910,2025-08-15,2025-08-18~2025-08-24,109979.0,435,269763.0,1046,-0.31170204776448207,33,2025-11-11
30910,2025-08-15,2025-08-25~2025-08-31,3980.0,17,273743.0,1063,-0.9638112730612208,5,2025-11-11
