gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
31533,2025-09-05,2025-09-01~2025-09-07,96963.0,399,96963.0,399,0.0,22,2025-11-11
31533,2025-09-05,2025-09-08~2025-09-14,51156.0,217,148119.0,616,-0.47241731382073576,22,2025-11-11
31533,2025-09-05,2025-09-15~2025-09-21,4140.0,19,152259.0,635,-0.9190710767065446,4,2025-11-11
