gov_id,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
21930,2022-08-08~2022-08-14,,,0.0,0,0.0,0,2025-10-29
21930,2022-08-15~2022-08-21,1075634.0,4415.0,1075634.0,4415,0.0,83,2025-10-29
21930,2022-08-22~2022-08-28,1106268.0,4542.0,2181902.0,8957,0.02847994764018244,83,2025-10-29
21930,2022-08-29~2022-09-04,259383.0,1057.0,2441285.0,10014,-0.7655333065767066,75,2025-10-29
21930,2022-09-05~2022-09-11,35530.0,142.0,2476815.0,10156,-0.8630210923614886,45,2025-10-29
21930,2022-09-12~2022-09-18,1055.0,4.0,2477870.0,10160,-0.9703067830002815,2,2025-10-29
21930,2022-09-19~2022-09-25,,,2477870.0,10160,-1.0,0,2025-10-29
21930,2022-09-26~2022-10-02,,,2477870.0,10160,0.0,0,2025-10-29
21930,2022-10-03~2022-10-09,,,2477870.0,10160,0.0,0,2025-10-29
21930,2022-10-10~2022-10-16,7102.0,94.0,2484972.0,10254,0.0,2,2025-10-29
21930,2022-10-17~2022-10-23,18307.0,193.0,2503279.0,10447,1.5777245846240495,3,2025-10-29
21930,2022-10-24~2022-10-30,15965.0,144.0,2519244.0,10591,-0.12792920740700278,3,2025-10-29
21930,2022-10-31~2022-11-06,3360.0,21.0,2522604.0,10612,-0.7895396179141873,1,2025-10-29
21930,2022-11-07~2022-11-13,,,2522604.0,10612,-1.0,0,2025-10-29
21930,2022-11-14~2022-11-20,,,2522604.0,10612,0.0,0,2025-10-29
21930,2022-11-21~2022-11-27,,,2522604.0,10612,0.0,0,2025-10-29
21930,2022-11-28~2022-12-04,,,2522604.0,10612,0.0,0,2025-10-29
21930,2022-12-05~2022-12-11,,,2522604.0,10612,0.0,0,2025-10-29
21930,2022-12-12~2022-12-18,,,2522604.0,10612,0.0,0,2025-10-29
21930,2022-12-19~2022-12-25,,,2522604.0,10612,0.0,0,2025-10-29
21930,2022-12-26~2023-01-01,,,2522604.0,10612,0.0,0,2025-10-29
21930,2023-01-02~2023-01-08,,,2522604.0,10612,0.0,0,2025-10-29
21930,2023-01-09~2023-01-15,,,2522604.0,10612,0.0,0,2025-10-29
21930,2023-01-16~2023-01-22,,,2522604.0,10612,0.0,0,2025-10-29
21930,2023-01-23~2023-01-29,,,2522604.0,10612,0.0,0,2025-10-29
21930,2023-01-30~2023-02-05,,,2522604.0,10612,0.0,0,2025-10-29
21930,2023-02-06~2023-02-12,,,2522604.0,10612,0.0,0,2025-10-29
21930,2023-02-13~2023-02-19,,,2522604.0,10612,0.0,0,2025-10-29
