gov_id,week_label,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
31402,2025W43,2025-08-18~2025-08-24,71760.0,191,71760.0,191,0.0,1,2025-10-28
31402,2025W43,2025-08-25~2025-08-31,3985932.0,14425,4057692.0,14616,54.54531772575251,88,2025-10-28
31402,2025W43,2025-09-01~2025-09-07,4523100.0,16649,8580792.0,31265,0.1347659719232541,88,2025-10-28
31402,2025W43,2025-09-08~2025-09-14,2212859.0,7959,10793651.0,39224,-0.5107649620835267,86,2025-10-28
31402,2025W43,2025-09-15~2025-09-21,1089295.0,3835,11882946.0,43059,-0.5077431503769558,67,2025-10-28
31402,2025W43,2025-09-22~2025-09-28,453082.0,1576,12336028.0,44635,-0.5840594145754823,33,2025-10-28
31402,2025W43,2025-09-29~2025-10-05,232361.0,816,12568389.0,45451,-0.487154643088889,12,2025-10-28
31402,2025W43,2025-10-06~2025-10-12,111324.0,414,12679713.0,45865,-0.5209006674958362,7,2025-10-28
31402,2025W43,2025-10-13~2025-10-19,29680.0,119,12709393.0,45984,-0.7333908231827818,4,2025-10-28
