,round_idx,current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,boxoffice_week_2,boxoffice_week_1,audience_week_2,audience_week_1,screens_week_2,screens_week_1,open_week1_days,open_week1_boxoffice,open_week1_boxoffice_daily_avg,open_week2_boxoffice,release_year,film_length,is_restricted,release_month_sin,release_month_cos
round_idx,,,,,,,,,,,,,,,,,,,
current_week_active_idx,,1.0,0.2594414386484053,0.2330339135051452,-0.14526498522430156,-0.1404559272554218,-0.15357565112684338,-0.1487403546651186,-0.38956856032592974,-0.36892757327082376,0.09912971007203933,0.09896214033574137,0.09569652060498227,0.08390982642046094,-0.09676602300795295,-0.01868899313813597,-0.11849464130753215,0.18683077400493425,0.08080800381494306
gap_real_week_2to1,,0.2594414386484053,1.0,0.03584474552231142,-0.04105520567143901,-0.03690249879358999,-0.04286637986077713,-0.038653259128285086,-0.1561396388479873,-0.1365493401541109,0.0045787616065926535,-0.030444295344205025,-0.03183118997251098,-0.036053705898758504,-0.07198542325414652,-0.04159643590302889,-0.021137493060621657,0.031459457794068946,0.0005778554339239671
gap_real_week_1tocurrent,,0.2330339135051452,0.03584474552231142,1.0,-0.04901509312524506,-0.04422686044171065,-0.051142565282073206,-0.046468290540160356,-0.17371604512653566,-0.15994253331852698,0.038352094820726025,-0.04811057536838492,-0.049138512854645926,-0.051637488225231905,-0.05575351356496699,-0.016628039220795008,-0.03421140367267419,0.058363008990539034,0.04067386824564396
boxoffice_week_2,,-0.14526498522430156,-0.04105520567143901,-0.04901509312524506,1.0,0.9456657351163232,0.9975296474824854,0.9431415397136851,0.4543793094458193,0.4986951588083088,0.25901605431760627,0.6019818467619369,0.6055922457072404,0.6370247983175457,-0.03284127246950012,0.3357017637425171,-0.03379242493901364,-0.015401361529046092,-0.027036041533755186
boxoffice_week_1,,-0.1404559272554218,-0.03690249879358999,-0.04422686044171065,0.9456657351163232,1.0,0.9435235499248188,0.9976969674797332,0.40571162629994784,0.45400969997098317,0.2268082486522582,0.5469428679102555,0.5499852088075173,0.5906571612941709,-0.031729264072283686,0.31441704827800115,-0.04129956606271118,-0.01284760486593912,-0.01543202883811623
audience_week_2,,-0.15357565112684338,-0.04286637986077713,-0.051142565282073206,0.9975296474824854,0.9435235499248188,1.0,0.945359595004747,0.46913075161361883,0.5144426653286764,0.2591635371993647,0.5922590529413477,0.5970293230270111,0.62248572959035,-0.025996662296752505,0.3211621022447803,-0.028743733143791507,-0.020028938647086755,-0.03934423586420657
audience_week_1,,-0.1487403546651186,-0.038653259128285086,-0.046468290540160356,0.9431415397136851,0.9976969674797332,0.945359595004747,1.0,0.4199622123194611,0.47092147713058097,0.22668770996986057,0.5382938043891712,0.5422390694373022,0.5784545760507874,-0.024316111883471627,0.30188212420885446,-0.038224757012826543,-0.01743805653973307,-0.026664235513298426
screens_week_2,,-0.38956856032592974,-0.1561396388479873,-0.17371604512653566,0.4543793094458193,0.40571162629994784,0.46913075161361883,0.4199622123194611,1.0,0.9272476900635469,0.2515785327489306,0.41986356635977823,0.4339976582590989,0.43172953766062555,0.029673765388575017,0.24090660776902534,0.037281897055055115,-0.10985866972519112,-0.04906585823871797
screens_week_1,,-0.36892757327082376,-0.1365493401541109,-0.15994253331852698,0.4986951588083088,0.45400969997098317,0.5144426653286764,0.47092147713058097,0.9272476900635469,1.0,0.22870455408515655,0.433659491181314,0.44758206263204414,0.4528043088509869,0.03531436634427408,0.23925032254690334,0.01024426740388515,-0.10701041464758658,-0.05051000930644761
