gov_id,title_zh,release_round,release_start,release_end,release_days,total_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,is_re_release,release_initial_date,update_at
13460,仲夏魘,25,2021-06-14,2021-07-11,28,4,0.0,0.0,0.0,0.0,0.0,2021-06-14~2021-06-20,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,26,2021-07-12,2021-08-08,28,4,0.0,0.0,0.0,0.0,0.0,2021-07-12~2021-07-18,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,27,2021-08-09,2021-09-05,28,4,0.0,0.0,0.0,0.0,0.0,2021-08-09~2021-08-15,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,28,2021-09-06,2021-10-03,28,4,0.0,0.0,0.0,0.0,0.0,2021-09-06~2021-09-12,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,29,2021-10-04,2021-10-31,28,4,0.0,0.0,0.0,0.0,0.0,2021-10-04~2021-10-10,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,30,2021-11-01,2021-11-28,28,4,0.0,0.0,0.0,0.0,0.0,2021-11-01~2021-11-07,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,31,2021-11-29,2021-12-26,28,4,0.0,0.0,0.0,0.0,0.0,2021-11-29~2021-12-05,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,32,2021-12-27,2022-01-23,28,4,0.0,0.0,0.0,0.0,0.0,2021-12-27~2022-01-02,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,33,2022-01-24,2022-02-20,28,4,0.0,0.0,0.0,0.0,0.0,2022-01-24~2022-01-30,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,34,2022-02-21,2022-03-20,28,4,0.0,0.0,0.0,0.0,0.0,2022-02-21~2022-02-27,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,35,2022-03-21,2022-04-17,28,4,0.0,0.0,0.0,0.0,0.0,2022-03-21~2022-03-27,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,36,2022-04-18,2022-05-15,28,4,0.0,0.0,0.0,0.0,0.0,2022-04-18~2022-04-24,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,37,2022-05-16,2022-06-12,28,4,0.0,0.0,0.0,0.0,0.0,2022-05-16~2022-05-22,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,38,2022-06-13,2022-07-10,28,4,0.0,0.0,0.0,0.0,0.0,2022-06-13~2022-06-19,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,39,2022-07-11,2022-08-07,28,4,0.0,0.0,0.0,0.0,0.0,2022-07-11~2022-07-17,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,40,2022-08-08,2022-09-04,28,4,0.0,0.0,0.0,0.0,0.0,2022-08-08~2022-08-14,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,41,2022-09-05,2022-10-02,28,4,0.0,0.0,0.0,0.0,0.0,2022-09-05~2022-09-11,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,42,2022-10-03,2022-10-30,28,4,0.0,0.0,0.0,0.0,0.0,2022-10-03~2022-10-09,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,43,2022-10-31,2022-11-27,28,4,0.0,0.0,0.0,0.0,0.0,2022-10-31~2022-11-06,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,44,2022-11-28,2022-12-25,28,4,0.0,0.0,0.0,0.0,0.0,2022-11-28~2022-12-04,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,45,2022-12-26,2023-01-22,28,4,0.0,0.0,0.0,0.0,0.0,2022-12-26~2023-01-01,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,46,2023-01-23,2023-02-19,28,4,0.0,0.0,0.0,0.0,0.0,2023-01-23~2023-01-29,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,47,2023-02-20,2023-03-19,28,4,0.0,0.0,0.0,0.0,0.0,2023-02-20~2023-02-26,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,48,2023-03-20,2023-04-16,28,4,0.0,0.0,0.0,0.0,0.0,2023-03-20~2023-03-26,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,49,2023-04-17,2023-05-14,28,4,0.0,0.0,0.0,0.0,0.0,2023-04-17~2023-04-23,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,50,2023-05-15,2023-06-11,28,4,0.0,0.0,0.0,0.0,0.0,2023-05-15~2023-05-21,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,51,2023-06-12,2023-07-09,28,4,0.0,0.0,0.0,0.0,0.0,2023-06-12~2023-06-18,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,52,2023-07-10,2023-08-06,28,4,0.0,0.0,0.0,0.0,0.0,2023-07-10~2023-07-16,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,53,2023-08-07,2023-09-03,28,4,0.0,0.0,0.0,0.0,0.0,2023-08-07~2023-08-13,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,54,2023-09-04,2023-10-01,28,4,0.0,0.0,0.0,0.0,0.0,2023-09-04~2023-09-10,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,55,2023-10-02,2023-10-29,28,4,0.0,0.0,0.0,0.0,0.0,2023-10-02~2023-10-08,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,56,2023-10-30,2023-11-26,28,4,0.0,0.0,0.0,0.0,0.0,2023-10-30~2023-11-05,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,57,2023-11-27,2023-12-24,28,4,0.0,0.0,0.0,0.0,0.0,2023-11-27~2023-12-03,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
