gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price
23548,日麗,1,FALSE,2023/1/25,2023/1/23,2023/4/16,84,12,11,5319499,22055,483590.82,2005,1462053,2023-02-13~2023-02-19,16,9.64,6.783,,-0.151,-0.804,TRUE,下檔,2023/1/23,2025/10/31 03:06,-0.884,8.91,8,3,衰退,需行動,241.19
23548,日麗,2,TRUE,2023/1/25,2023/6/19,2023/7/9,21,3,3,18290,225,6096.67,75,8665,2023-06-19~2023-06-25,2,1.67,-0.032,,-0.295,-0.852,FALSE,下檔,2023/1/23,2025/10/31 03:06,-0.857,0,2,2,衰退,正常,81.29
23548,日麗,3,TRUE,2023/1/25,2025/9/22,2025/10/19,28,4,3,188491,639,62830.33,213,67575,2025-09-22~2025-09-28,1,1,-0.109,,0.003,0.008,FALSE,上映中,2023/1/23,2025/10/31 03:06,-0.102,0,0,3,穩定,正常,294.98
23614,我的鯨魚老爸,1,FALSE,2023/2/2,2023/1/30,2023/5/14,105,15,15,10699271,43096,713284.73,2873.07,2904283,2023-02-06~2023-02-12,54,28.33,0.245,,-0.189,-0.893,TRUE,下檔,2023/1/30,2025/10/31 03:06,-0.952,9.5,8,2,衰退,需行動,248.27
23614,我的鯨魚老爸,2,TRUE,2023/2/2,2025/9/22,2025/10/26,35,5,3,75755,268,25251.67,89.33,29020,2025-10-20~2025-10-26,1,1,-0.223,,0,0,FALSE,上映中,2023/1/30,2025/10/31 03:06,0.104,0,0,3,穩定,正常,282.67
24046,寶可噩夢,1,FALSE,2023/4/21,2023/4/17,2023/6/4,49,7,7,1653627,6186,236232.43,883.71,677741,2023-04-24~2023-04-30,74,33.14,-0.522,,-0.47,-0.957,FALSE,下檔,2023/4/17,2025/10/31 03:06,-0.978,9.84,5,2,衰退,需行動,267.32
24046,寶可噩夢,2,TRUE,2023/4/21,2025/9/15,2025/10/19,35,5,3,41773,153,13924.33,51,17173,2025-09-29~2025-10-05,1,1,0.285,,0,0,FALSE,上映中,2023/4/17,2025/10/31 03:06,-0.159,0,1,3,穩定,正常,273.03
24086,Fishmans,1,FALSE,2023/4/21,2023/4/17,2023/6/4,49,7,7,398633,1651,56947.57,235.86,177625,2023-04-24~2023-04-30,8,4.86,-0.276,,-0.236,0.042,FALSE,下檔,2023/4/17,2025/10/31 03:06,-0.802,7.62,0,2,衰退,需行動,241.45
25044,之前的我們,1,FALSE,2023/7/28,2023/7/24,2023/10/15,84,12,12,8309019,33046,692418.25,2753.83,2767891,2023-08-07~2023-08-13,62,25.67,0.273,,-0.113,-0.226,TRUE,下檔,2023/7/24,2025/10/31 03:06,-0.452,5.69,9,2,衰退,注意,251.44
25044,之前的我們,2,TRUE,2023/7/28,2024/12/30,2025/2/23,56,8,7,4440,17,634.29,2.43,1600,2025-02-03~2025-02-09,2,1.14,-0.304,,0.521,0,FALSE,下檔,2023/7/24,2025/10/31 03:06,2.156,0,1,2,成長中,正常,261.18
