gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price
25044,之前的我們,1,False,2023-07-28,2023-07-24,2023-10-15,84,12,12,8309019.0,33046.0,692418.25,2753.83,2767891.0,2023-08-07~2023-08-13,62,25.67,0.273,-0.113,-0.226,True,下檔,2023-07-24,2025-10-31 03:06:37,-0.452,5.69,9,2,衰退,注意,251.44
25044,之前的我們,2,True,2023-07-28,2024-12-30,2025-02-23,56,8,7,4440.0,17.0,634.29,2.43,1600.0,2025-02-03~2025-02-09,2,1.14,-0.304,0.521,0.0,False,下檔,2023-07-24,2025-10-31 03:06:37,2.156,0.0,1,2,成長中,正常,261.18
25045,鬼手鬼手 請開口,1,False,2023-08-11,2023-08-07,2023-10-01,56,8,8,7122368.0,28354.0,890296.0,3544.25,2998804.0,2023-08-14~2023-08-20,74,34.12,-0.512,-0.475,-0.755,False,下檔,2023-08-07,2025-10-31 03:06:37,-0.849,9.02,6,2,衰退,需行動,251.19
25045,鬼手鬼手 請開口,2,True,2023-08-11,2023-11-06,2023-12-03,28,4,4,24655.0,315.0,6163.75,78.75,10785.0,2023-11-13~2023-11-19,2,1.75,3.002,0.524,-0.708,False,下檔,2023-08-07,2025-10-31 03:06:37,-0.766,6.58,2,2,衰退,注意,78.27
25045,鬼手鬼手 請開口,3,True,2023-08-11,2025-07-07,2025-07-27,21,3,3,10255.0,44.0,3418.33,14.67,5305.0,2025-07-14~2025-07-20,1,1.0,0.511,-0.072,-0.729,False,下檔,2023-08-07,2025-10-31 03:06:37,-0.59,0.0,1,2,衰退,正常,233.07
25045,鬼手鬼手 請開口,4,True,2023-08-11,2025-09-15,2025-10-12,28,4,3,44381.0,158.0,14793.67,52.67,16671.0,2025-09-15~2025-09-21,1,1.0,-0.136,-0.025,-0.076,False,下檔,2023-08-07,2025-10-31 03:06:37,-0.202,0.0,2,3,衰退,正常,280.89
26305,夢行者保羅,1,False,2023-12-04,2023-12-04,2024-01-21,49,7,7,2743366.0,11223.0,391909.43,1603.29,1197989.0,2023-12-11~2023-12-17,67,32.29,0.075,-0.446,-0.621,False,下檔,2023-12-04,2025-10-31 03:06:37,-0.84,8.83,5,2,衰退,需行動,244.44
26305,夢行者保羅,2,True,2023-12-04,2025-09-15,2025-10-19,35,5,3,41074.0,153.0,13691.33,51.0,18000.0,2025-09-29~2025-10-05,1,1.0,0.766,0.0,0.0,False,上映中,2023-12-04,2025-10-31 03:06:37,0.264,0.0,1,3,成長中,正常,268.46
26439,鬼才之道,1,False,2024-08-07,2024-08-05,2025-03-09,217,31,29,61115916.0,234016.0,2107445.38,8069.52,14935288.0,2024-08-05~2024-08-11,99,34.17,-0.319,0.174,-0.747,True,下檔,2024-08-05,2025-10-31 03:06:37,-0.753,8.57,5,4,衰退,需行動,261.16
26514,紅豬,1,False,2024-01-01,2024-10-14,2024-11-03,21,3,3,57760.0,223.0,19253.33,74.33,25770.0,2024-10-28~2024-11-03,2,1.33,1.724,0.608,0.101,False,下檔,2024-10-14,2025-10-31 03:06:37,2.0,0.0,0,2,成長中,正常,259.01
26514,紅豬,2,True,2024-01-01,2025-09-01,2025-10-19,49,7,7,11458379.0,42785.0,1636911.29,6112.14,6081169.0,2025-09-01~2025-09-07,88,55.57,-0.427,-0.575,-0.882,False,上映中,2024-10-14,2025-10-31 03:06:37,-0.962,9.81,6,2,衰退,需行動,267.81
26625,貓王與我,1,False,2024-01-26,2024-01-22,2024-03-03,42,6,6,630041.0,2693.0,105006.83,448.83,351900.0,2024-01-22~2024-01-28,63,26.5,-0.704,-0.547,-0.57,False,下檔,2024-01-22,2025-10-31 03:06:37,-0.864,9.45,5,2,衰退,需行動,233.96
26625,貓王與我,2,True,2024-01-26,2025-09-22,2025-10-12,21,3,2,25650.0,92.0,12825.0,46.0,15510.0,2025-09-22~2025-09-28,1,1.0,-0.346,0.0,0.0,False,下檔,2024-01-22,2025-10-31 03:06:37,0.0,0.0,1,2,穩定,正常,278.8
26779,夢想集中營,1,False,2024-02-23,2024-02-19,2024-04-28,70,10,10,3187111.0,12622.0,318711.1,1262.2,1033328.0,2024-02-26~2024-03-03,61,27.9,-0.471,-0.395,-0.866,False,下檔,2024-02-19,2025-10-31 03:06:37,-0.944,9.57,8,2,衰退,需行動,252.5
26779,夢想集中營,2,True,2024-02-23,2025-09-22,2025-10-12,21,3,2,115875.0,414.0,57937.5,207.0,76975.0,2025-09-22~2025-09-28,1,1.0,-0.495,0.0,0.0,False,下檔,2024-02-19,2025-10-31 03:06:37,0.0,0.0,1,2,穩定,正常,279.89
27106,河鰻,1,False,2025-10-03,2025-09-29,2025-10-26,28,4,4,734988.0,2699.0,183747.0,674.75,418336.0,2025-09-29~2025-10-05,14,11.0,-0.819,0.213,-0.946,False,上映中,2025-09-29,2025-10-31 03:06:37,-0.959,9.7,3,1,衰退,需行動,272.32
27343,帝國浩劫：美國內戰,1,False,2024-04-29,2024-04-29,2024-07-07,70,10,10,22573750.0,87538.0,2257375.0,8753.8,12045535.0,2024-04-29~2024-05-05,90,46.1,-0.527,-0.529,-0.515,False,下檔,2024-04-29,2025-10-31 03:06:37,-0.879,9.16,9,1,衰退,需行動,257.87
27343,帝國浩劫：美國內戰,2,True,2024-04-29,2025-09-15,2025-10-19,35,5,3,38762.0,139.0,12920.67,46.33,13620.0,2025-10-13~2025-10-19,1,1.0,0.181,0.0,0.0,False,上映中,2024-04-29,2025-10-31 03:06:37,0.182,0.0,0,3,穩定,正常,278.86
27899,96分鐘,1,False,2025-09-05,2025-09-01,2025-10-26,56,8,8,194728527.0,702821.0,24341065.88,87852.62,39730790.0,2025-09-15~2025-09-21,94,92.88,0.0,2.429,-0.127,False,上映中,2025-09-01,2025-10-31 03:06:37,-0.542,5.05,5,5,衰退,注意,277.07
