gov_id,title_zh,release_round,is_re_release,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at
25045,鬼手鬼手 請開口,3,True,2025-07-07,2025-07-27,21,3,3,10255.0,44.0,3418.33,14.67,5305.0,2025-07-14~2025-07-20,1,1.0,0.511,-0.072,-0.729,False,下檔,2023-08-07,2025-10-29 11:24:08
25045,鬼手鬼手 請開口,4,True,2025-09-15,2025-10-12,28,4,3,44381.0,158.0,14793.67,52.67,16671.0,2025-09-15~2025-09-21,1,1.0,-0.136,-0.025,-0.076,False,下檔,2023-08-07,2025-10-29 11:24:08
26305,夢行者保羅,1,False,2023-12-04,2024-01-21,49,7,7,2743366.0,11223.0,391909.43,1603.29,1197989.0,2023-12-11~2023-12-17,67,32.29,0.075,-0.446,-0.621,False,下檔,2023-12-04,2025-10-29 11:24:08
26305,夢行者保羅,3,True,2025-09-15,2025-10-19,35,5,3,41074.0,153.0,13691.33,51.0,18000.0,2025-09-29~2025-10-05,1,1.0,0.766,0.0,0.0,False,下檔,2023-12-04,2025-10-29 11:24:08
26439,鬼才之道,2,True,2024-08-05,2025-03-09,217,31,29,61115916.0,234016.0,2107445.38,8069.52,14935288.0,2024-08-05~2024-08-11,99,34.17,-0.046,0.174,-0.747,True,下檔,2024-06-17,2025-10-29 11:24:08
26439,鬼才之道,4,True,2025-08-11,2025-09-07,28,4,2,64800.0,288.0,32400.0,144.0,47200.0,2025-09-01~2025-09-07,2,1.5,1.682,0.0,0.0,False,下檔,2024-06-17,2025-10-29 11:24:08
26514,紅豬,2,True,2024-10-14,2024-11-24,42,6,4,105460.0,419.0,26365.0,104.75,47700.0,2024-11-18~2024-11-24,3,1.75,1.724,0.456,0.0,False,下檔,2024-01-01,2025-10-29 11:24:08
26514,紅豬,3,True,2025-09-01,2025-10-19,49,7,7,11458379.0,42785.0,1636911.29,6112.14,6081169.0,2025-09-01~2025-09-07,88,55.57,-0.427,-0.575,-0.882,False,下檔,2024-01-01,2025-10-29 11:24:08
26625,貓王與我,1,False,2024-01-22,2024-03-03,42,6,6,630041.0,2693.0,105006.83,448.83,351900.0,2024-01-22~2024-01-28,63,26.5,-0.309,-0.547,-0.57,False,下檔,2024-01-22,2025-10-29 11:24:08
26625,貓王與我,2,True,2025-09-22,2025-10-12,21,3,2,25650.0,92.0,12825.0,46.0,15510.0,2025-09-22~2025-09-28,1,1.0,-0.346,0.0,0.0,False,下檔,2024-01-22,2025-10-29 11:24:08
26779,夢想集中營,1,False,2024-02-19,2024-04-28,70,10,10,3187111.0,12622.0,318711.1,1262.2,1033328.0,2024-02-26~2024-03-03,61,27.9,0.234,-0.395,-0.866,False,下檔,2024-02-19,2025-10-29 11:24:08
26779,夢想集中營,2,True,2025-09-22,2025-10-12,21,3,2,115875.0,414.0,57937.5,207.0,76975.0,2025-09-22~2025-09-28,1,1.0,-0.495,0.0,0.0,False,下檔,2024-02-19,2025-10-29 11:24:08
27106,河鰻,1,False,2025-09-22,2025-10-26,35,5,5,850488.0,3029.0,170097.6,605.8,418336.0,2025-09-29~2025-10-05,14,9.0,2.622,0.17,-0.946,False,下檔,2025-09-22,2025-10-29 11:24:08
27343,帝國浩劫：美國內戰,1,False,2024-04-29,2024-07-07,70,10,10,22573750.0,87538.0,2257375.0,8753.8,12045535.0,2024-04-29~2024-05-05,90,46.1,-0.527,-0.529,-0.515,False,下檔,2024-04-29,2025-10-29 11:24:08
27343,帝國浩劫：美國內戰,2,True,2025-09-15,2025-10-19,35,5,3,38762.0,139.0,12920.67,46.33,13620.0,2025-10-13~2025-10-19,1,1.0,0.181,0.0,0.0,False,下檔,2024-04-29,2025-10-29 11:24:08
27899,96分鐘,2,True,2025-08-11,2025-10-26,77,11,11,195755267.0,706187.0,17795933.36,64198.82,39730790.0,2025-09-15~2025-09-21,94,68.45,-0.507,2.747,-0.127,True,下檔,2025-06-02,2025-10-29 11:24:08
29081,粗獷派建築師,2,True,2025-02-24,2025-06-01,98,14,13,6340754.0,22070.0,487750.31,1697.69,2059465.0,2025-03-03~2025-03-09,41,16.85,0.307,-0.268,0.0,True,下檔,2025-01-20,2025-10-29 11:24:08
29081,粗獷派建築師,3,True,2025-09-29,2025-10-19,21,3,3,110178.0,366.0,36726.0,122.0,46838.0,2025-10-13~2025-10-19,1,1.0,0.053,0.165,0.442,False,下檔,2025-01-20,2025-10-29 11:24:08
29111,台灣超人,1,False,2024-10-28,2025-10-19,357,51,45,30593462.0,128638.0,679854.71,2858.62,2680018.0,2025-01-13~2025-01-19,71,17.22,2.147,1.959,0.0,True,下檔,2024-10-28,2025-10-29 11:24:08
29378,我家的事,2,True,2025-08-25,2025-10-26,63,9,9,10102569.0,38968.0,1122507.67,4329.78,3264678.0,2025-09-15~2025-09-21,66,38.33,3.166,1.82,-0.694,False,下檔,2025-05-19,2025-10-29 11:24:08
29380,失明,1,False,2025-09-08,2025-10-26,49,7,7,2697224.0,10373.0,385317.71,1481.86,1220588.0,2025-09-15~2025-09-21,71,31.43,3.375,-0.006,-0.838,False,下檔,2025-09-08,2025-10-29 11:24:08
29513,異教詭屋,1,False,2024-11-25,2025-01-19,56,8,8,3976777.0,15737.0,497097.12,1967.12,1639381.0,2024-12-02~2024-12-08,78,35.88,0.073,-0.5,-0.78,False,下檔,2024-11-25,2025-10-29 11:24:08
29513,異教詭屋,2,True,2025-09-15,2025-10-19,35,5,3,45506.0,160.0,15168.67,53.33,16960.0,2025-10-13~2025-10-19,1,1.0,-0.061,0.0,0.0,False,下檔,2024-11-25,2025-10-29 11:24:08
29611,交換禮物,1,False,2024-12-16,2025-10-26,315,45,41,9023687.0,36454.0,220089.93,889.12,1470683.0,2024-12-30~2025-01-05,55,9.49,1.248,0.157,0.0,True,下檔,2024-12-16,2025-10-29 11:24:08
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,1,False,2024-12-23,2025-05-18,147,21,21,144306707.0,475412.0,6871747.95,22638.67,23638904.0,2025-01-06~2025-01-12,86,48.24,163.715,7.693,-0.701,True,下檔,2024-12-23,2025-10-29 11:24:08
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,2,True,2025-06-23,2025-07-13,21,3,2,15790.0,70.0,7895.0,35.0,8970.0,2025-06-23~2025-06-29,1,1.0,-0.24,0.0,0.0,False,下檔,2024-12-23,2025-10-29 11:24:08
29831,乖女孩,1,False,2025-01-13,2025-03-16,63,9,9,5232729.0,20524.0,581414.33,2280.44,2070696.0,2025-01-20~2025-01-26,77,34.67,0.407,-0.449,-0.882,False,下檔,2025-01-13,2025-10-29 11:24:08
29831,乖女孩,2,True,2025-09-22,2025-10-19,28,4,3,52527.0,189.0,17509.0,63.0,20190.0,2025-10-13~2025-10-19,1,1.0,-0.351,-0.117,0.0,False,下檔,2025-01-13,2025-10-29 11:24:08
