week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2023-12-11~2023-12-17,,,3332467.0,13867,0.0,0,2025-10-12
2023-12-18~2023-12-24,,,3332467.0,13867,0.0,0,2025-10-12
2023-12-25~2023-12-31,,,3332467.0,13867,0.0,0,2025-10-12
2024-01-01~2024-01-07,,,3332467.0,13867,0.0,0,2025-10-12
2024-01-08~2024-01-14,,,3332467.0,13867,0.0,0,2025-10-12
2024-01-15~2024-01-21,,,3332467.0,13867,0.0,0,2025-10-12
2024-01-22~2024-01-28,,,3332467.0,13867,0.0,0,2025-10-12
2024-01-29~2024-02-04,,,3332467.0,13867,0.0,0,2025-10-12
2024-02-05~2024-02-11,,,3332467.0,13867,0.0,0,2025-10-12
2024-02-12~2024-02-18,,,3332467.0,13867,0.0,0,2025-10-12
2024-02-19~2024-02-25,,,3332467.0,13867,0.0,0,2025-10-12
2024-02-26~2024-03-03,,,3332467.0,13867,0.0,0,2025-10-12
2024-03-04~2024-03-10,,,3332467.0,13867,0.0,0,2025-10-12
2024-03-11~2024-03-17,,,3332467.0,13867,0.0,0,2025-10-12
2024-03-18~2024-03-24,,,3332467.0,13867,0.0,0,2025-10-12
2024-03-25~2024-03-31,,,3332467.0,13867,0.0,0,2025-10-12
2024-04-01~2024-04-07,,,3332467.0,13867,0.0,0,2025-10-12
2024-04-08~2024-04-14,,,3332467.0,13867,0.0,0,2025-10-12
2024-04-15~2024-04-21,,,3332467.0,13867,0.0,0,2025-10-12
2024-04-22~2024-04-28,,,3332467.0,13867,0.0,0,2025-10-12
2024-04-29~2024-05-05,,,3332467.0,13867,0.0,0,2025-10-12
2024-05-06~2024-05-12,,,3332467.0,13867,0.0,0,2025-10-12
2024-05-13~2024-05-19,,,3332467.0,13867,0.0,0,2025-10-12
2024-05-20~2024-05-26,,,3332467.0,13867,0.0,0,2025-10-12
2024-05-27~2024-06-02,,,3332467.0,13867,0.0,0,2025-10-12
2024-06-03~2024-06-09,,,3332467.0,13867,0.0,0,2025-10-12
2024-06-10~2024-06-16,,,3332467.0,13867,0.0,0,2025-10-12
