week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2025-09-22~2025-09-28,1381388.0,5288,1381388.0,5288,0.0,67,2025-10-12
2025-09-29~2025-10-05,1347806.0,5221,2729194.0,10509,-0.024310331347890672,67,2025-10-12
