week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2025-09-15~2025-09-21,519717.0,1970,519717.0,1970,0.0,35,2025-10-12
2025-09-22~2025-09-28,338678.0,1287,858395.0,3257,-0.348341501240098,35,2025-10-12
2025-09-29~2025-10-05,64823.0,252,923218.0,3509,-0.8085999090581615,19,2025-10-12
