gov_id,gov_title_zh,gov_title_en,region,rating_class,publisher,film_length,release_round,release_start,release_end,release_days,total_weeks,total_amount,total_tickets,peak_amount,is_long_tail,status,update_at
30062,鬼吹簫,THE PIPER,美國,輔12級,車庫娛樂股份有限公司,,,,,,,,,,,,
30091,大濛,A Foggy Tale,中華民國,保護級,華文創股份有限公司,,,,,,,,,,,,
30155,QUEER,QUEER,美國,限制級,采昌國際多媒體股份有限公司,,1.0,2025-03-24,2025-05-11,49.0,7.0,1188680.0,4777.0,715372.0,False,下檔,2025-10-29 14:04:00
30366,取精急轉彎,Spermageddon,挪威,輔15級,原創娛樂股份有限公司,,1.0,2025-04-28,2025-06-22,56.0,8.0,7431564.0,27325.0,4519567.0,False,下檔,2025-10-29 14:04:00
30436,泣聲驚魂,The Wailing,西班牙,輔15級,原創娛樂股份有限公司,,,,,,,,,,,,
30497,沈睡的水下巨人,SHIPWRECKS TAIWAN,中華民國,普遍級,牽猴子股份有限公司,,1.0,2025-04-28,2025-07-06,70.0,10.0,2011708.0,8087.0,1034306.0,False,下檔,2025-10-29 14:04:00
30530,守護我們的星球,Guardians of our planet,中華民國,普遍級,牽猴子股份有限公司,,1.0,2025-05-26,2025-10-26,154.0,22.0,6984784.0,28344.0,887446.0,True,上映中,2025-10-29 14:04:00
30560,長椅小情歌,AT THE BENCH,日本,普遍級,光年映畫有限公司,,1.0,2025-07-21,2025-10-26,98.0,14.0,1750310.0,7217.0,504818.0,True,上映中,2025-10-29 14:04:00
30636,怪譚搜索,BLOAT,美國,輔12級,原創娛樂股份有限公司,,1.0,2025-06-09,2025-07-06,28.0,4.0,69334.0,268.0,64214.0,False,下檔,2025-10-29 14:04:00
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,韓國,普遍級,采昌國際多媒體股份有限公司,,2.0,2025-09-15,2025-10-12,28.0,4.0,151500.0,242.0,82500.0,False,下檔,2025-10-29 14:04:00
30676,我們意外的勇氣,Unexpected Courage,中華民國,普遍級,華文創股份有限公司,,,,,,,,,,,,
30699,此刻的我們,We Live In Time,美國,輔12級,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,,1.0,2025-05-19,2025-06-15,28.0,4.0,240013.0,971.0,165783.0,False,下檔,2025-10-29 14:04:00
30704,造山者－世紀的賭注,A Chip Odyssey,中華民國,普遍級,視納華仁文化傳播股份有限公司,,1.0,2025-06-16,2025-10-26,133.0,19.0,29012911.0,116609.0,3858264.0,True,上映中,2025-10-29 14:04:00
30717,馴龍高手,HOW TO TRAIN YOUR DRAGON,美國,普遍級,美商美國環球影片股份有限公司台灣分公司,,1.0,2025-06-09,2025-10-26,140.0,20.0,130720037.0,435429.0,36493327.0,True,上映中,2025-10-29 14:04:00
30738,星際寶貝：史迪奇,Lilo & Stitch,美國,保護級,台灣華特迪士尼股份有限公司,,1.0,2025-05-26,2025-10-19,147.0,21.0,75921984.0,280450.0,31225707.0,True,上映中,2025-10-29 14:04:00
30739,不可能的任務：最終清算,MISSION: IMPOSSIBLE -THE FINAL RECKONING,美國,輔12級,美商美國派拉蒙影片股份有限公司台灣分公司,,1.0,2025-05-19,2025-10-26,161.0,23.0,380988305.0,1233179.0,132919944.0,True,上映中,2025-10-29 14:04:00
30808,滿血復活,BRING HER BACK,美國,限制級,美商台灣索尼影業發行股份有限公司台灣分公司,,2.0,2025-09-15,2025-10-26,42.0,6.0,45802.0,160.0,19160.0,False,上映中,2025-10-29 14:04:00
30809,名偵探柯南 獨眼的殘像,Detective Conan The Movie: One-Eyed Flashback,日本,保護級,普威爾國際股份有限公司,,1.0,2025-06-30,2025-10-26,119.0,17.0,143213908.0,519667.0,56906148.0,True,上映中,2025-10-29 14:04:00
30863,我家妹妹不准嫁,Will You Marry Monk?,泰國,輔12級,仲業股份有限公司,,,,,,,,,,,,
30864,世界就是這樣結束的,The End,英國,輔12級,東昊影業有限公司,,,,,,,,,,,,
30960,28年毀滅倒數,28 YEARS LATER,美國,限制級,美商台灣索尼影業發行股份有限公司台灣分公司,,2.0,2025-09-15,2025-10-12,28.0,4.0,114850.0,939.0,51875.0,False,下檔,2025-10-29 14:04:00
31027,F1電影,F1,美國,保護級,美商華納兄弟（遠東）股份有限公司台灣分公司,,1.0,2025-06-30,2025-10-26,119.0,17.0,495669826.0,1532434.0,96016586.0,True,上映中,2025-10-29 14:04:00
31037,暗影部隊,SHADOW FORCE,美國,輔12級,車庫娛樂股份有限公司,,,,,,,,,,,,
31082,地球特派員,ELIO,美國,普遍級,台灣華特迪士尼股份有限公司,,1.0,2025-07-07,2025-10-26,112.0,16.0,36490447.0,140981.0,12229929.0,True,上映中,2025-10-29 14:04:00
31123,侏羅紀世界：重生,JURASSIC WORLD REBIRTH,美國,保護級,美商美國環球影片股份有限公司台灣分公司,,1.0,2025-07-07,2025-10-26,112.0,16.0,189330332.0,675689.0,83206320.0,True,上映中,2025-10-29 14:04:00
31128,窒友梅根 2.0,M3GAN 2.0,美國,輔15級,美商美國環球影片股份有限公司台灣分公司,,2.0,2025-09-08,2025-10-12,35.0,5.0,87265.0,808.0,40305.0,False,下檔,2025-10-29 14:04:00
31158,黑白線人,Yadang: The Snitch,韓國,限制級,可樂藝術文創股份有限公司,,1.0,2025-09-08,2025-10-05,28.0,4.0,661819.0,2528.0,503703.0,False,下檔,2025-10-29 14:04:00
31159,皇家保姆亞瑟,OUT OF THE NEST,泰國,普遍級,可樂藝術文創股份有限公司,,,,,,,,,,,,
31186,超人,SUPERMAN,美國,保護級,美商華納兄弟（遠東）股份有限公司台灣分公司,,1.0,2025-07-14,2025-10-26,105.0,15.0,48114762.0,168334.0,27826177.0,True,上映中,2025-10-29 14:04:00
31190,電影哆啦A夢：大雄的繪畫世界物語,DORAEMON THE MOVIE: NOBITA'S ART WORLD TALES,日本,普遍級,車庫娛樂股份有限公司,,1.0,2025-07-21,2025-10-26,98.0,14.0,45356659.0,176110.0,13994814.0,True,上映中,2025-10-29 14:04:00
31191,病毒,VIRUS,韓國,保護級,車庫娛樂股份有限公司,,,,,,,,,,,,
31201,壞蛋聯盟 2,THE BAD GUYS 2,美國,保護級,美商美國環球影片股份有限公司台灣分公司,,1.0,2025-07-28,2025-10-26,91.0,13.0,17377997.0,67698.0,5426184.0,True,上映中,2025-10-29 14:04:00
31222,與達賴喇嘛談心：尋找幸福的智慧,Wisdom of Happiness,瑞士,保護級,海鵬影業有限公司,,,,,,,,,,,,
31251,藍色小精靈大電影,SMURFS,美國,普遍級,美商美國派拉蒙影片股份有限公司台灣分公司,,1.0,2025-07-21,2025-09-07,49.0,7.0,2548896.0,10104.0,1430238.0,False,下檔,2025-10-29 14:04:00
31301,我在荒野做了一場夢,Seven Ages of a Man,中華民國,普遍級,牽猴子股份有限公司,,1.0,2025-08-25,2025-10-26,63.0,9.0,2829261.0,11731.0,611002.0,False,上映中,2025-10-29 14:04:00
31305,世紀編舞大師,Cranko (John Cranko),德國,輔12級,聯影企業股份有限公司,,1.0,2025-09-08,2025-10-26,49.0,7.0,187494.0,902.0,107319.0,False,上映中,2025-10-29 14:04:00
31329,全知讀者視角,Omniscient Reader,韓國,輔12級,采昌國際多媒體股份有限公司,,1.0,2025-07-21,2025-10-26,98.0,14.0,78361652.0,285027.0,30799172.0,True,上映中,2025-10-29 14:04:00
31352,驚奇4超人：第一步,The Fantastic Four: First Steps,美國,保護級,台灣華特迪士尼股份有限公司,,1.0,2025-07-28,2025-10-26,91.0,13.0,33447176.0,116567.0,20373334.0,True,上映中,2025-10-29 14:04:00
31355,電影蠟筆小新：超華麗！灼熱的春日部舞者們,CRAYON SHINCHAN THE MOVIE: SUPER HOT! THE SPICY KASUKABE DANCERS,日本,普遍級,車庫娛樂股份有限公司,,1.0,2025-08-25,2025-10-26,63.0,9.0,34586826.0,130689.0,21110142.0,False,上映中,2025-10-29 14:04:00
31364,凶器,WEAPONS,美國,限制級,美商華納兄弟（遠東）股份有限公司台灣分公司,,1.0,2025-08-11,2025-10-19,70.0,10.0,24729657.0,89217.0,10192343.0,False,上映中,2025-10-29 14:04:00
31365,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,Demon Slayer：Kimetsu no Yaiba Infinity Castle,日本,輔12級,木棉花國際股份有限公司,,1.0,2025-08-11,2025-10-26,77.0,11.0,648538675.0,2001208.0,233117423.0,True,上映中,2025-10-29 14:04:00
31402,天作之合,MATERIALISTS,美國,普遍級,美商台灣索尼影業發行股份有限公司台灣分公司,,1.0,2025-08-25,2025-10-26,63.0,9.0,12649513.0,45841.0,4523100.0,False,上映中,2025-10-29 14:04:00
31474,角頭－鬥陣欸,GATAO: Big Brothers,中華民國,限制級,威視股份有限公司,,1.0,2025-08-25,2025-10-26,63.0,9.0,111270070.0,406093.0,62159840.0,False,上映中,2025-10-29 14:04:00
31502,怪奇寶貝,SKETCH,美國,保護級,車庫娛樂股份有限公司,,1.0,2025-09-08,2025-10-19,42.0,6.0,299081.0,1192.0,254974.0,False,上映中,2025-10-29 14:04:00
31507,一兆$遊戲　劇場版,Trillion Game the Movie,日本,保護級,天馬行空數位有限公司,,1.0,2025-08-18,2025-10-26,70.0,10.0,871772.0,3427.0,541411.0,False,上映中,2025-10-29 14:04:00
31520,龍之心-靈界探訪記-,ドラゴン・ハート-霊界探訪記-,日本,輔12級,台灣幸福科學出版有限公司,,1.0,2025-09-01,2025-10-26,56.0,8.0,4805056.0,21179.0,1463221.0,False,上映中,2025-10-29 14:04:00
31523,樂來越愛你,La La Land,英國,普遍級,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,,1.0,2025-09-15,2025-10-26,42.0,6.0,2605066.0,7678.0,1872490.0,False,上映中,2025-10-29 14:04:00
31531,詭鄉,Eerie Hometown,中華民國,輔12級,威視股份有限公司,,1.0,2025-09-22,2025-10-19,28.0,4.0,1523439.0,5722.0,1061895.0,False,上映中,2025-10-29 14:04:00
31541,熱烈,One and Only,中國大陸,普遍級,恆星多媒體股份有限公司,,1.0,2025-09-15,2025-10-26,42.0,6.0,1984297.0,7694.0,764525.0,False,上映中,2025-10-29 14:04:00
31547,辣媽辣妹2,Freakier Friday,美國,普遍級,台灣華特迪士尼股份有限公司,,1.0,2025-08-18,2025-10-12,56.0,8.0,9606265.0,35550.0,3796318.0,False,下檔,2025-10-29 14:04:00
31570,無名指,My First of May,香港,普遍級,華映國際文創股份有限公司,,1.0,2025-09-22,2025-10-26,35.0,5.0,479195.0,2001.0,246675.0,False,上映中,2025-10-29 14:04:00
31596,厲陰宅：最終聖事,The Conjuring：Last Rites,美國,輔15級,美商華納兄弟（遠東）股份有限公司台灣分公司,,1.0,2025-09-08,2025-10-26,49.0,7.0,39822487.0,136628.0,20459408.0,False,上映中,2025-10-29 14:04:00
31650,親愛的家人,DEAR FAMILY,日本,普遍級,車庫娛樂股份有限公司,,,,,,,,,,,,
31651,永遠在一起,TOGETHER,美國,輔15級,采昌國際多媒體股份有限公司,,1.0,2025-09-29,2025-10-26,28.0,4.0,1406132.0,5351.0,994676.0,False,上映中,2025-10-29 14:04:00
31654,電影版小林家的龍女僕：害怕寂寞的龍,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,日本,保護級,采昌國際多媒體股份有限公司,,1.0,2025-09-15,2025-10-26,42.0,6.0,4392520.0,15888.0,2179430.0,False,上映中,2025-10-29 14:04:00
31662,淒厲人師,The Tutor,泰國,輔12級,原創娛樂股份有限公司,,,,,,,,,,,,
31668,突破:三千米的泳氣,Second Life,中華民國,保護級,春暉映像有限公司,,,,,,,,,,,,
31670,搖籃凡世,Pavane for an Infant,馬來西亞,輔12級,海鵬影業有限公司,,,,,,,,,,,,
31679,凌晨兩點的惡魔,PRETTY CRAZY,韓國,普遍級,車庫娛樂股份有限公司,,1.0,2025-09-01,2025-10-19,49.0,7.0,1398480.0,5454.0,1019841.0,False,上映中,2025-10-29 14:04:00
31685,劇場版 咒術迴戰 懷玉・玉折,JUJUTSU KAISEN: Hidden Inventory / Premature Death – The Movie,日本,保護級,薩摩亞商羚邦(亞洲)有限公司台灣分公司,,1.0,2025-09-08,2025-10-26,49.0,7.0,21841084.0,73537.0,9464676.0,False,上映中,2025-10-29 14:04:00
31701,麵包超人電影版：小水滴的英雄！,ANPANMAN: Chapon's Hero！,日本,普遍級,曼迪傳播股份有限公司,,1.0,2025-09-08,2025-10-26,49.0,7.0,1278280.0,4887.0,623427.0,False,上映中,2025-10-29 14:04:00
31702,光,The light,德國,輔15級,聯影企業股份有限公司,,,,,,,,,,,,
31704,陌路兄弟,Road's End in Taiwan,中華民國,保護級,綺影映畫有限公司,,1.0,2025-09-29,2025-10-26,28.0,4.0,99660.0,453.0,52150.0,False,上映中,2025-10-29 14:04:00
31712,劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),Movie:Utano☆Princesama TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),日本,普遍級,曼迪傳播股份有限公司,,1.0,2025-09-08,2025-10-26,49.0,7.0,2056129.0,7692.0,708575.0,False,上映中,2025-10-29 14:04:00
31713,捏造：史上最惡殺人教師,SHAM,日本,輔12級,光年映畫有限公司,,1.0,2025-09-22,2025-10-26,35.0,5.0,364531.0,1485.0,241280.0,False,上映中,2025-10-29 14:04:00
31714,鋼琴之子,Wolfgang,西班牙,普遍級,仲業股份有限公司,,1.0,2025-09-22,2025-10-26,35.0,5.0,110465.0,526.0,80635.0,False,上映中,2025-10-29 14:04:00
31715,致我所愛之人,Belonging,日本,普遍級,中影股份有限公司,,1.0,2025-09-08,2025-10-26,49.0,7.0,135900.0,591.0,45890.0,False,上映中,2025-10-29 14:04:00
