feature,importance
boxoffice_week_1,206
audience_week_1,92
audience_week_2,81
open_week1_boxoffice_daily_avg,68
open_week1_boxoffice,57
current_week_active_idx,40
boxoffice_week_2,32
screens_week_2,31
film_length,26
release_month_cos,24
open_week2_boxoffice,17
open_week1_days,11
screens_week_1,9
release_month_sin,9
release_year,4
gap_real_week_2to1,0
round_idx,0
gap_real_week_1tocurrent,0
is_restricted,0
