week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2025-09-15~2025-09-21,136850.0,391,136850.0,391,0.0,1,2025-10-12
2025-09-22~2025-09-28,49455153.0,160513,49592003.0,160904,360.3821921812203,94,2025-10-12
2025-09-29~2025-10-05,47711564.0,154049,97303567.0,314953,-0.035255962103686145,94,2025-10-12
