week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2025-09-15~2025-09-21,19720.0,68,19720.0,68,0.0,1,2025-10-12
2025-09-22~2025-09-28,375702.0,1526,395422.0,1594,18.05182555780933,35,2025-10-12
2025-09-29~2025-10-05,314431.0,1290,709853.0,2884,-0.1630840400104338,34,2025-10-12
