feature,importance
boxoffice_week_1,179
audience_week_1,118
open_week2_boxoffice,61
screens_week_1,58
screens_week_2,56
audience_week_2,40
boxoffice_week_2,31
open_week1_boxoffice,24
film_length,22
open_week1_days,21
release_month_cos,20
current_week_active_idx,14
open_week1_boxoffice_daily_avg,13
release_month_sin,9
is_restricted,7
gap_real_week_2to1,0
round_idx,0
gap_real_week_1tocurrent,0
release_year,0
