gov_id,region,rating_class,film_length,release_round,is_re_release,release_days,total_weeks,avg_amount_per_week,peak_amount,amount_growth_rate,decline_rate_mean,previous_round_count,previous_total_amount,total_amount
30864,英國,輔12級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30960,美國,限制級,0.0,2.0,True,28.0,4.0,28712.5,51875.0,2.213,0.543,1.0,8559988.0,114850.0
31027,美國,保護級,0.0,1.0,False,119.0,17.0,29157048.59,96016586.0,-0.135,-0.239,0.0,0.0,495669826.0
31037,美國,輔12級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31082,美國,普遍級,0.0,1.0,False,112.0,16.0,2280652.94,12229929.0,0.04,12.328,0.0,0.0,36490447.0
31123,美國,保護級,0.0,1.0,False,112.0,16.0,11833145.75,83206320.0,-0.433,-0.266,0.0,0.0,189330332.0
31128,美國,輔15級,0.0,2.0,True,35.0,5.0,17453.0,40305.0,1.259,-0.12,1.0,7296069.0,87265.0
31158,韓國,限制級,0.0,1.0,False,28.0,4.0,165454.75,503703.0,-0.722,-0.601,0.0,0.0,661819.0
31159,泰國,普遍級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31186,美國,保護級,0.0,1.0,False,105.0,15.0,3436768.71,27826177.0,-0.611,-0.435,0.0,0.0,48114762.0
31190,日本,普遍級,0.0,1.0,False,98.0,14.0,3239761.36,13994814.0,-0.207,-0.228,0.0,0.0,45356659.0
31191,韓國,保護級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31201,美國,保護級,0.0,1.0,False,91.0,13.0,1448166.42,5426184.0,0.072,8.548,0.0,0.0,17377997.0
31222,瑞士,保護級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31251,美國,普遍級,0.0,1.0,False,49.0,7.0,364128.0,1430238.0,-0.473,-0.284,0.0,0.0,2548896.0
31301,中華民國,普遍級,0.0,1.0,False,63.0,9.0,314362.33,611002.0,-0.003,-0.218,0.0,0.0,2829261.0
31305,德國,輔12級,0.0,1.0,False,49.0,7.0,26784.86,107319.0,-0.659,-0.162,0.0,0.0,187494.0
31329,韓國,輔12級,0.0,1.0,False,98.0,14.0,6027819.38,30799172.0,-0.232,-0.192,0.0,0.0,78361652.0
31352,美國,保護級,0.0,1.0,False,91.0,13.0,3040652.36,20373334.0,-0.619,10.825,0.0,0.0,33447176.0
31355,日本,普遍級,0.0,1.0,False,63.0,9.0,3842980.67,21110142.0,-0.74,-0.289,0.0,0.0,34586826.0
31364,美國,限制級,0.0,1.0,False,70.0,10.0,2472965.7,10192343.0,-0.192,1.823,0.0,0.0,24729657.0
31365,日本,輔12級,0.0,1.0,False,77.0,11.0,58958061.36,233117423.0,-0.349,-0.242,0.0,0.0,648538675.0
31402,美國,普遍級,0.0,1.0,False,63.0,9.0,1405501.44,4523100.0,0.135,5.637,0.0,0.0,12649513.0
31474,中華民國,限制級,0.0,1.0,False,63.0,9.0,12363341.11,62159840.0,-0.584,-0.498,0.0,0.0,111270070.0
31502,美國,保護級,0.0,1.0,False,42.0,6.0,59816.2,254974.0,-0.881,-0.569,0.0,0.0,299081.0
31507,日本,保護級,0.0,1.0,False,70.0,10.0,96863.56,541411.0,-0.561,-0.277,0.0,0.0,871772.0
