gov_id,official_release_date,week_range,round_idx,rounds_cumsum,current_week_real_idx,current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,boxoffice_week_2,boxoffice_week_1,audience_week_2,audience_week_1,screens_week_2,screens_week_1,open_week1_days,open_week1_boxoffice,open_week1_boxoffice_daily_avg,open_week2_boxoffice,amount,tickets,theater_count,boxoffice_cumsum,boxoffice_round1_cumsum,boxoffice_current_round_cumsum,audience_cumsum,audience_round1_cumsum,audience_current_round_cumsum
21389,2022-05-31,2022-06-27~2022-07-03,1,1,5,5.0,0,0,415865.0,119751.0,1767.0,510.0,56.0,21.0,6,1627162.0,271193.6666666667,1135447.0,28667.0,121.0,6,3298225.0,3298225.0,3298225.0,13723,13723,13723
21389,2022-05-31,2022-07-04~2022-07-10,1,1,6,6.0,0,0,119751.0,28667.0,510.0,121.0,21.0,6.0,6,1627162.0,271193.6666666667,1135447.0,5575.0,23.0,3,3326892.0,3326892.0,3326892.0,13844,13844,13844
21389,2022-05-31,2025-09-15~2025-09-21,2,2,1,1.0,0,0,,,,,,,6,1627162.0,271193.6666666667,1135447.0,18830.0,68.0,1,3332467.0,3332467.0,0.0,13867,13867,0
21389,2022-05-31,2025-09-22~2025-09-28,2,2,2,,0,0,,,,,,,6,1627162.0,271193.6666666667,1135447.0,0.0,0.0,0,3351297.0,3332467.0,18830.0,13935,13867,68
21389,2022-05-31,2025-09-29~2025-10-05,2,2,3,2.0,0,1,,18830.0,,68.0,,1.0,6,1627162.0,271193.6666666667,1135447.0,11387.0,41.0,1,3351297.0,3332467.0,18830.0,13935,13867,68
21389,2022-05-31,2025-10-06~2025-10-12,2,2,4,3.0,1,0,18830.0,11387.0,68.0,41.0,1.0,1.0,6,1627162.0,271193.6666666667,1135447.0,11748.0,44.0,1,3362684.0,3332467.0,30217.0,13976,13867,109
21930,2022-08-19,2022-08-15~2022-08-21,1,1,1,1.0,0,0,,,,,,,3,1075634.0,358544.6666666667,1106268.0,1075634.0,4415.0,83,0.0,0.0,0.0,0,0,0
21930,2022-08-19,2022-08-22~2022-08-28,1,1,2,2.0,0,0,,1075634.0,,4415.0,,83.0,3,1075634.0,358544.6666666667,1106268.0,1106268.0,4542.0,83,1075634.0,1075634.0,1075634.0,4415,4415,4415
21930,2022-08-19,2022-08-29~2022-09-04,1,1,3,3.0,0,0,1075634.0,1106268.0,4415.0,4542.0,83.0,83.0,3,1075634.0,358544.6666666667,1106268.0,259383.0,1057.0,75,2181902.0,2181902.0,2181902.0,8957,8957,8957
21930,2022-08-19,2022-09-05~2022-09-11,1,1,4,4.0,0,0,1106268.0,259383.0,4542.0,1057.0,83.0,75.0,3,1075634.0,358544.6666666667,1106268.0,35530.0,142.0,45,2441285.0,2441285.0,2441285.0,10014,10014,10014
21930,2022-08-19,2022-09-12~2022-09-18,1,1,5,5.0,0,0,259383.0,35530.0,1057.0,142.0,75.0,45.0,3,1075634.0,358544.6666666667,1106268.0,1055.0,4.0,2,2476815.0,2476815.0,2476815.0,10156,10156,10156
21930,2022-08-19,2022-10-10~2022-10-16,2,2,1,1.0,0,0,,,,,,,3,1075634.0,358544.6666666667,1106268.0,7102.0,94.0,2,2477870.0,2477870.0,0.0,10160,10160,0
21930,2022-08-19,2022-10-17~2022-10-23,2,2,2,2.0,0,0,,7102.0,,94.0,,2.0,3,1075634.0,358544.6666666667,1106268.0,18307.0,193.0,3,2484972.0,2477870.0,7102.0,10254,10160,94
21930,2022-08-19,2022-10-24~2022-10-30,2,2,3,3.0,0,0,7102.0,18307.0,94.0,193.0,2.0,3.0,3,1075634.0,358544.6666666667,1106268.0,15965.0,144.0,3,2503279.0,2477870.0,25409.0,10447,10160,287
21930,2022-08-19,2022-10-31~2022-11-06,2,2,4,4.0,0,0,18307.0,15965.0,193.0,144.0,3.0,3.0,3,1075634.0,358544.6666666667,1106268.0,3360.0,21.0,1,2519244.0,2477870.0,41374.0,10591,10160,431
22894,2025-09-19,2025-09-15~2025-09-21,1,1,1,1.0,0,0,,,,,,,3,1260067.0,420022.3333333333,1260067.0,1260067.0,4583.0,25,0.0,0.0,0.0,0,0,0
22894,2025-10-01,2025-09-15~2025-09-21,1,1,2,2.0,0,0,,1260067.0,,4583.0,,25.0,3,1260067.0,420022.3333333333,1260067.0,1260067.0,4583.0,25,1260067.0,1260067.0,1260067.0,4583,4583,4583
22894,2025-09-19,2025-09-22~2025-09-28,1,1,3,3.0,0,0,1260067.0,1260067.0,4583.0,4583.0,25.0,25.0,3,1260067.0,420022.3333333333,1260067.0,1623554.0,6093.0,25,2520134.0,2520134.0,2520134.0,9166,9166,9166
22894,2025-10-01,2025-09-22~2025-09-28,1,1,4,4.0,0,0,1260067.0,1623554.0,4583.0,6093.0,25.0,25.0,3,1260067.0,420022.3333333333,1260067.0,1623554.0,6093.0,25,4143688.0,4143688.0,4143688.0,15259,15259,15259
22894,2025-09-19,2025-09-29~2025-10-05,1,1,5,5.0,0,0,1623554.0,1623554.0,6093.0,6093.0,25.0,25.0,3,1260067.0,420022.3333333333,1260067.0,989335.0,3670.0,25,5767242.0,5767242.0,5767242.0,21352,21352,21352
22894,2025-10-01,2025-09-29~2025-10-05,1,1,6,6.0,0,0,1623554.0,989335.0,6093.0,3670.0,25.0,25.0,3,1260067.0,420022.3333333333,1260067.0,989335.0,3670.0,25,6756577.0,6756577.0,6756577.0,25022,25022,25022
