gov_id,atmovies_id,week_label,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
31900,fmjp32600395,2025W42,2025-09-29~2025-10-05,2062269.0,7183,2062269.0,7183,0.0,69,2025-10-13
31900,fmjp32600395,2025W42,2025-10-06~2025-10-12,3672540.0,13222,5734809.0,20405,0.7808249069350313,69,2025-10-13
