gov_id,atmovies_id,week_label,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
31904,fgjp33829458,2025W42,2025-09-29~2025-10-05,168618.0,668,168618.0,668,0.0,20,2025-10-13
31904,fgjp33829458,2025W42,2025-10-06~2025-10-12,106176.0,421,274794.0,1089,-0.3703163363341992,20,2025-10-13
