gov_id,title_zh,momentum_score,momentum_3w,second_week_amount_growth_rate,retention_index,decline_rate_mean,active_weeks,is_long_tail,avg_theater_count,peak_theater_count,total_weeks,total_amount,avg_amount_per_week,market_heat_level,region,movie_class
30738,星際寶貝：史迪奇,-0.617,-0.39,-0.4,0.8697727272727274,-0.215,21,True,35.43,95,22,105651491.0,5031023.38,A,美國,保護級
30739,不可能的任務：最終清算,-0.854,-0.394,-0.474,0.905,-0.19,25,True,41.84,95,25,453190315.0,18127612.6,A,美國,輔12級
30808,滿血復活,0.0,0.0,0.835,0.8333333333333333,0.0,2,False,1.0,1,3,29603.0,14801.5,E,美國,限制級
30809,名偵探柯南 獨眼的殘像,-0.994,-0.405,-0.433,0.9335,-0.133,19,True,47.0,97,19,214891969.0,11310103.63,A,日本,保護級
30863,我家妹妹不准嫁,-0.804,-0.585,-0.751,0.8220000000000001,-0.356,4,False,18.25,22,4,1303617.0,325904.25,C,泰國,輔12級
30864,世界就是這樣結束的,-0.949,-0.562,-0.235,0.861,-0.278,4,False,10.25,16,4,358553.0,89638.25,D,英國,輔12級
30960,28年毀滅倒數,-0.397,0.724,2.213,0.7284999999999999,0.543,4,False,1.75,2,4,114850.0,28712.5,E,美國,限制級
31027,F1電影,-0.861,-0.037,0.102,0.8714999999999999,-0.257,19,True,72.42,95,19,570415385.0,30021862.37,A,美國,保護級
31037,暗影部隊,-0.988,-0.847,-0.679,0.7065,-0.587,5,False,31.0,62,5,1264642.0,252928.4,C,美國,輔12級
31082,地球特派員,-0.719,47.353,142.587,-4.459,10.918,18,True,31.44,91,18,36551647.0,2030647.06,A,美國,普遍級
31123,侏羅紀世界：重生,-0.825,-0.424,-0.35,0.8605,-0.279,18,True,47.17,94,18,299137668.0,16618759.33,A,美國,保護級
31128,窒友梅根 2.0,-0.903,0.025,1.259,0.94,-0.12,5,False,1.4,2,5,87265.0,17453.0,E,美國,輔15級
31158,黑白線人,-0.986,-0.715,-0.538,0.7595000000000001,-0.481,5,False,23.6,38,5,1129371.0,225874.2,C,韓國,限制級
31159,皇家保姆亞瑟,-0.93,-0.555,-0.661,0.7865,-0.427,5,False,9.2,18,5,165385.0,33077.0,D,泰國,普遍級
31186,超人,-0.834,-0.504,-0.4,0.7560882352941176,-0.429,16,True,36.69,95,17,87895470.0,5493466.88,A,美國,保護級
31190,電影哆啦A夢：大雄的繪畫世界物語,-0.918,-0.383,-0.534,0.8705,-0.259,16,True,42.75,86,16,58218665.0,3638666.56,A,日本,普遍級
31191,病毒,-0.999,-0.882,-0.768,0.708,-0.584,4,False,40.75,68,4,783935.0,195983.75,D,韓國,保護級
31201,壞蛋聯盟 2,-0.739,9.352,28.322,-2.664333333333333,7.262,14,True,30.79,91,15,17429492.0,1244963.71,A,美國,保護級
31251,藍色小精靈大電影,-0.862,-0.475,-0.467,0.8220000000000001,-0.356,4,False,1.0,1,4,23400.0,5850.0,E,美國,普遍級
31301,我在荒野做了一場夢,-0.902,-0.251,-0.527,0.8734999999999999,-0.253,11,True,11.73,23,11,3391998.0,308363.45,B,中華民國,普遍級
31305,世紀編舞大師,-0.654,-0.424,-0.237,0.929,-0.142,8,False,4.62,12,8,247806.0,30975.75,D,德國,輔12級
31329,全知讀者視角,0.971,-0.392,-0.232,0.8606666666666667,-0.212,14,True,41.29,96,15,78380572.0,5598612.29,A,韓國,輔12級
31352,驚奇4超人：第一步,-0.581,-0.039,0.671,0.987,-0.026,3,False,2.0,2,3,105535.0,35178.33,E,美國,保護級
