gov_id,round_idx,current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,boxoffice_week_2,boxoffice_week_1,audience_week_2,audience_week_1,screens_week_2,screens_week_1,open_week1_days,open_week1_boxoffice,open_week1_boxoffice_daily_avg,open_week2_boxoffice,amount,release_year,film_length,is_restricted,release_month_sin,release_month_cos
23614,1,4.0,0,0,2904283.0,1816367.0,11754.0,7278.0,52.0,52.0,4,1332497.0,333124.25,2904283.0,1160717.0,2023,116,0,0.8660254037844386,0.5000000000000001
23614,1,5.0,0,0,1816367.0,1160717.0,7278.0,4660.0,52.0,52.0,4,1332497.0,333124.25,2904283.0,977851.0,2023,116,0,0.8660254037844386,0.5000000000000001
23614,1,6.0,0,0,1160717.0,977851.0,4660.0,3921.0,52.0,41.0,4,1332497.0,333124.25,2904283.0,395575.0,2023,116,0,0.8660254037844386,0.5000000000000001
23614,1,7.0,0,0,977851.0,395575.0,3921.0,1640.0,41.0,38.0,4,1332497.0,333124.25,2904283.0,1177072.0,2023,116,0,0.8660254037844386,0.5000000000000001
23614,1,8.0,0,0,395575.0,1177072.0,1640.0,4706.0,38.0,42.0,4,1332497.0,333124.25,2904283.0,541984.0,2023,116,0,0.8660254037844386,0.5000000000000001
23614,1,9.0,0,0,1177072.0,541984.0,4706.0,2215.0,42.0,41.0,4,1332497.0,333124.25,2904283.0,221275.0,2023,116,0,0.8660254037844386,0.5000000000000001
23614,1,10.0,0,0,541984.0,221275.0,2215.0,908.0,41.0,28.0,4,1332497.0,333124.25,2904283.0,113506.0,2023,116,0,0.8660254037844386,0.5000000000000001
23614,1,11.0,0,0,221275.0,113506.0,908.0,447.0,28.0,11.0,4,1332497.0,333124.25,2904283.0,25076.0,2023,116,0,0.8660254037844386,0.5000000000000001
23614,1,12.0,0,0,113506.0,25076.0,447.0,103.0,11.0,5.0,4,1332497.0,333124.25,2904283.0,16236.0,2023,116,0,0.8660254037844386,0.5000000000000001
23614,1,13.0,0,0,25076.0,16236.0,103.0,64.0,5.0,4.0,4,1332497.0,333124.25,2904283.0,11250.0,2023,116,0,0.8660254037844386,0.5000000000000001
23614,1,14.0,0,0,16236.0,11250.0,64.0,43.0,4.0,2.0,4,1332497.0,333124.25,2904283.0,5042.0,2023,116,0,0.8660254037844386,0.5000000000000001
23614,1,15.0,0,0,11250.0,5042.0,43.0,19.0,2.0,2.0,4,1332497.0,333124.25,2904283.0,540.0,2023,116,0,0.8660254037844386,0.5000000000000001
24046,1,3.0,0,0,607138.0,677741.0,2236.0,2544.0,74.0,73.0,3,607138.0,202379.3333333333,677741.0,251624.0,2023,179,1,0.8660254037844387,-0.4999999999999998
24046,1,4.0,0,0,677741.0,251624.0,2544.0,953.0,73.0,60.0,3,607138.0,202379.3333333333,677741.0,74804.0,2023,179,1,0.8660254037844387,-0.4999999999999998
24046,1,5.0,0,0,251624.0,74804.0,953.0,290.0,60.0,16.0,3,607138.0,202379.3333333333,677741.0,27515.0,2023,179,1,0.8660254037844387,-0.4999999999999998
24046,1,6.0,0,0,74804.0,27515.0,290.0,107.0,16.0,6.0,3,607138.0,202379.3333333333,677741.0,14195.0,2023,179,1,0.8660254037844387,-0.4999999999999998
24046,1,7.0,0,0,27515.0,14195.0,107.0,54.0,6.0,2.0,3,607138.0,202379.3333333333,677741.0,610.0,2023,179,1,0.8660254037844387,-0.4999999999999998
24086,1,3.0,0,0,105158.0,177625.0,457.0,728.0,8.0,8.0,3,105158.0,35052.666666666664,177625.0,81850.0,2023,172,0,0.8660254037844387,-0.4999999999999998
24086,1,4.0,0,0,177625.0,81850.0,728.0,329.0,8.0,6.0,3,105158.0,35052.666666666664,177625.0,16450.0,2023,172,0,0.8660254037844387,-0.4999999999999998
24086,1,5.0,0,0,81850.0,16450.0,329.0,65.0,6.0,4.0,3,105158.0,35052.666666666664,177625.0,12650.0,2023,172,0,0.8660254037844387,-0.4999999999999998
24086,1,6.0,0,0,16450.0,12650.0,65.0,52.0,4.0,4.0,3,105158.0,35052.666666666664,177625.0,2400.0,2023,172,0,0.8660254037844387,-0.4999999999999998
24086,1,7.0,0,0,12650.0,2400.0,52.0,10.0,4.0,3.0,3,105158.0,35052.666666666664,177625.0,2500.0,2023,172,0,0.8660254037844387,-0.4999999999999998
25044,1,3.0,0,0,624330.0,1853892.0,2496.0,7443.0,61.0,62.0,3,624330.0,208110.0,1853892.0,2767891.0,2023,105,0,-0.4999999999999997,-0.8660254037844388
25044,1,4.0,0,0,1853892.0,2767891.0,7443.0,11143.0,62.0,62.0,3,624330.0,208110.0,1853892.0,1343836.0,2023,105,0,-0.4999999999999997,-0.8660254037844388
25044,1,5.0,0,0,2767891.0,1343836.0,11143.0,5301.0,62.0,52.0,3,624330.0,208110.0,1853892.0,718687.0,2023,105,0,-0.4999999999999997,-0.8660254037844388
25044,1,6.0,0,0,1343836.0,718687.0,5301.0,2847.0,52.0,17.0,3,624330.0,208110.0,1853892.0,467377.0,2023,105,0,-0.4999999999999997,-0.8660254037844388
25044,1,7.0,0,0,718687.0,467377.0,2847.0,1793.0,17.0,14.0,3,624330.0,208110.0,1853892.0,251618.0,2023,105,0,-0.4999999999999997,-0.8660254037844388
25044,1,8.0,0,0,467377.0,251618.0,1793.0,931.0,14.0,12.0,3,624330.0,208110.0,1853892.0,150288.0,2023,105,0,-0.4999999999999997,-0.8660254037844388
25044,1,9.0,0,0,251618.0,150288.0,931.0,580.0,12.0,9.0,3,624330.0,208110.0,1853892.0,63285.0,2023,105,0,-0.4999999999999997,-0.8660254037844388
25044,1,10.0,0,0,150288.0,63285.0,580.0,244.0,9.0,7.0,3,624330.0,208110.0,1853892.0,30050.0,2023,105,0,-0.4999999999999997,-0.8660254037844388
25044,1,11.0,0,0,63285.0,30050.0,244.0,116.0,7.0,5.0,3,624330.0,208110.0,1853892.0,21284.0,2023,105,0,-0.4999999999999997,-0.8660254037844388
25044,1,12.0,0,0,30050.0,21284.0,116.0,86.0,5.0,4.0,3,624330.0,208110.0,1853892.0,16481.0,2023,105,0,-0.4999999999999997,-0.8660254037844388
25045,1,3.0,0,0,2631310.0,2998804.0,10462.0,11965.0,74.0,74.0,3,2631310.0,877103.3333333334,2998804.0,1110413.0,2023,94,0,-0.8660254037844385,-0.5000000000000004
25045,1,4.0,0,0,2998804.0,1110413.0,11965.0,4420.0,74.0,69.0,3,2631310.0,877103.3333333334,2998804.0,273751.0,2023,94,0,-0.8660254037844385,-0.5000000000000004
25045,1,5.0,0,0,1110413.0,273751.0,4420.0,1082.0,69.0,36.0,3,2631310.0,877103.3333333334,2998804.0,68011.0,2023,94,0,-0.8660254037844385,-0.5000000000000004
25045,1,6.0,0,0,273751.0,68011.0,1082.0,268.0,36.0,12.0,3,2631310.0,877103.3333333334,2998804.0,22649.0,2023,94,0,-0.8660254037844385,-0.5000000000000004
25045,1,7.0,0,0,68011.0,22649.0,268.0,88.0,12.0,3.0,3,2631310.0,877103.3333333334,2998804.0,14000.0,2023,94,0,-0.8660254037844385,-0.5000000000000004
25045,1,8.0,0,0,22649.0,14000.0,88.0,56.0,3.0,3.0,3,2631310.0,877103.3333333334,2998804.0,3430.0,2023,94,0,-0.8660254037844385,-0.5000000000000004
26305,1,3.0,0,0,1113943.0,1197989.0,4582.0,4908.0,67.0,67.0,7,1113943.0,159134.7142857143,1197989.0,260305.0,2023,101,0,-2.4492935982947064e-16,1.0
26305,1,4.0,0,0,1197989.0,260305.0,4908.0,1056.0,67.0,64.0,7,1113943.0,159134.7142857143,1197989.0,107609.0,2023,101,0,-2.4492935982947064e-16,1.0
26305,1,5.0,0,0,260305.0,107609.0,1056.0,429.0,64.0,15.0,7,1113943.0,159134.7142857143,1197989.0,40155.0,2023,101,0,-2.4492935982947064e-16,1.0
26305,1,6.0,0,0,107609.0,40155.0,429.0,154.0,15.0,5.0,7,1113943.0,159134.7142857143,1197989.0,16940.0,2023,101,0,-2.4492935982947064e-16,1.0
26305,1,7.0,0,0,40155.0,16940.0,154.0,69.0,5.0,4.0,7,1113943.0,159134.7142857143,1197989.0,6425.0,2023,101,0,-2.4492935982947064e-16,1.0
26439,1,3.0,0,0,14935288.0,14248342.0,57594.0,54538.0,98.0,98.0,5,14935288.0,2987057.6,14248342.0,11202664.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,4.0,0,0,14248342.0,11202664.0,54538.0,42612.0,98.0,99.0,5,14935288.0,2987057.6,14248342.0,8285263.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,5.0,0,0,11202664.0,8285263.0,42612.0,31371.0,99.0,96.0,5,14935288.0,2987057.6,14248342.0,4544207.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,6.0,0,0,8285263.0,4544207.0,31371.0,17310.0,96.0,90.0,5,14935288.0,2987057.6,14248342.0,2407612.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,7.0,0,0,4544207.0,2407612.0,17310.0,9159.0,90.0,90.0,5,14935288.0,2987057.6,14248342.0,2114145.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,8.0,0,0,2407612.0,2114145.0,9159.0,7953.0,90.0,83.0,5,14935288.0,2987057.6,14248342.0,991911.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,9.0,0,0,2114145.0,991911.0,7953.0,3767.0,83.0,65.0,5,14935288.0,2987057.6,14248342.0,592703.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,10.0,0,0,991911.0,592703.0,3767.0,2244.0,65.0,48.0,5,14935288.0,2987057.6,14248342.0,360894.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,11.0,0,0,592703.0,360894.0,2244.0,1342.0,48.0,28.0,5,14935288.0,2987057.6,14248342.0,139874.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,12.0,0,0,360894.0,139874.0,1342.0,532.0,28.0,23.0,5,14935288.0,2987057.6,14248342.0,55055.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,13.0,0,0,139874.0,55055.0,532.0,202.0,23.0,12.0,5,14935288.0,2987057.6,14248342.0,117620.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,14.0,0,0,55055.0,117620.0,202.0,414.0,12.0,7.0,5,14935288.0,2987057.6,14248342.0,24065.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,15.0,0,0,117620.0,24065.0,414.0,94.0,7.0,4.0,5,14935288.0,2987057.6,14248342.0,226768.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,16.0,0,0,24065.0,226768.0,94.0,853.0,4.0,38.0,5,14935288.0,2987057.6,14248342.0,230241.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,17.0,0,0,226768.0,230241.0,853.0,880.0,38.0,38.0,5,14935288.0,2987057.6,14248342.0,396195.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,18.0,0,0,230241.0,396195.0,880.0,1359.0,38.0,38.0,5,14935288.0,2987057.6,14248342.0,58436.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,19.0,0,0,396195.0,58436.0,1359.0,227.0,38.0,14.0,5,14935288.0,2987057.6,14248342.0,18533.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,20.0,0,0,58436.0,18533.0,227.0,74.0,14.0,7.0,5,14935288.0,2987057.6,14248342.0,25740.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,21.0,0,1,18533.0,25740.0,74.0,111.0,7.0,2.0,5,14935288.0,2987057.6,14248342.0,4600.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,22.0,1,0,25740.0,4600.0,111.0,20.0,2.0,1.0,5,14935288.0,2987057.6,14248342.0,10920.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,23.0,0,1,4600.0,10920.0,20.0,52.0,1.0,1.0,5,14935288.0,2987057.6,14248342.0,17175.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
26439,1,24.0,1,0,10920.0,17175.0,52.0,175.0,1.0,2.0,5,14935288.0,2987057.6,14248342.0,43200.0,2024,110,0,-0.8660254037844385,-0.5000000000000004
