movieId,rank,name,releaseDate,publisher,dayCount,theaterCount,amount,tickets,marketShare,totalDayCount,totalAmount,totalTickets
32098,1,藤本樹17-26：PART 1,2025-10-13,Avex Pictures Inc.,20,3,1785096.0,6188,1.0,20,1785096.0,6188
32114,2,藤本樹17-26：PART 2,2025-10-13,Avex Pictures Inc.,20,3,1443591.0,4895,1.0,20,1443591.0,4895
31746,3,希瑪之歌,2025-10-13,Alba Sotorra##Baldr Film,1,4,16680.0,86,1.0,1,16680.0,86
31807,4,泥娃娃,2025-10-09,文化內容策進院##合影視有限合夥##必應創造股份有限公司##能率影業股份有限公司##阿榮影業股份有限公司##天予電影有限公司,91,3,29107538.0,106482,0.5469563028749596,91,53118836.0,194681
32112,5,風林火山,2025-10-09,一生電影有限公司##銀都機構有限公司##北京嘉映文化傳媒有限公司##邵氏兄弟國際影業有限公司##富通影業（中國）有限公司##天津貓眼微影文化傳媒有限公司##上海淘票票影視文化有限公司##華夏電影發行有限責任公司##上海伯藜創業投資中心(有限合夥)##北京小米移動軟體有限公司,83,3,3555285.0,13616,0.3914555961245436,83,9113332.0,34783
32111,6,徵人啟弒,2025-10-09,CJ ENM Co.  Ltd.,68,3,2065563.0,7961,0.3929999506343486,68,5265665.0,20257
32116,7,銀魂劇場版 2D 真選組動亂篇,2025-10-09,Dentsu Anime Solutions lnc.,9,7,460695.0,1632,0.34120844658164334,9,1470185.0,4783
32103,8,狼來了,2025-10-09,CAPSTONE STUDIOS CORP ,6,4,150288.0,654,0.34805747738158593,57,456905.0,1879
30062,9,鬼吹簫,2025-10-09,PSI Productions Ltd.,6,4,127988.0,523,0.3387305699481865,6,391000.0,1544
30864,10,世界就是這樣結束的,2025-10-09,The Match Factory GmbH,6,4,187235.0,650,0.5179282868525896,6,327073.0,1255
32099,11,創：戰神,2025-10-08,BUENA VISTA INTERNATIONAL  INC.,94,3,10760922.0,33219,0.3570169593534381,1,30203143.0,93046
32087,12,碰碰狐和貝貝彬歡唱電影：奇幻世界大冒險(國語版),2025-10-04,ABNORMAL STUDIOS SDN BHD,47,7,2433665.0,8981,0.3707480184940555,47,6556469.0,24224
31900,13,一百公尺。,2025-10-03,ASMIK ACE  INC.,56,7,2842308.0,9446,0.3166292360808501,56,8572089.0,29833
31668,14,突破:三千米的泳氣,2025-10-03,威剛科技股份有限公司##忠興織造廠股份有限公司##泳氣電影全媒體有限公司##呷尚寶興業股份有限公司##新東陽股份有限公司##精英開發有限公司##劇糖文創娛樂股份有限公司##中華全球護眼公益協會##日月潭力麗溫德姆溫泉酒店,31,7,976093.0,4022,0.12404009252120278,31,7766238.0,32425
31842,15,蓋比的娃娃屋大電影,2025-10-03,UNIVERSAL INTERNATIONAL FILMS LLC,36,7,250288.0,945,0.11138613861386139,36,2276409.0,8484
31808,16,夢想巨無霸,2025-10-03,Atrium Productions Kft.,22,7,356571.0,1524,0.18310705274540431,22,2092230.0,8323
31037,17,暗影部隊,2025-10-03,Lions Gate International (UK) Limited,3,4,36739.0,169,0.032481260811070535,3,1261752.0,5203
27106,18,河鰻,2025-10-03,底噪影像有限公司##滿滿額娛樂股份有限公司##內容物數位電影製作有限公司##彥恩國際經紀事業股份有限公司##文化內容策進院,2,4,132957.0,546,0.18187874750166555,2,843254.0,3002
31159,19,皇家保姆亞瑟,2025-10-03,ALL RIGHTS ENTERTAINMENT.SAS,3,4,7890.0,36,0.05863192182410423,3,157905.0,614
31702,20,光,2025-10-03,Beta Film GmbH,2,2,20576.0,89,0.15292096219931273,2,136867.0,582
31776,21,搗破法蘭克,2025-10-03,拾陸比玖有限公司##掌賞綜藝集團有限公司,1,2,0.0,0,0.0,1,41844.0,182
31777,22,奇幻導航,2025-10-02,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,68,7,654733.0,2564,0.38539004960168344,76,1711498.0,6653
