feature,importance
boxoffice_week_1,146
audience_week_1,109
open_week1_boxoffice,75
film_length,43
open_week1_boxoffice_daily_avg,41
audience_week_2,37
boxoffice_week_2,34
current_week_active_idx,28
screens_week_2,27
open_week2_boxoffice,25
screens_week_1,23
open_week1_days,22
release_year,6
release_month_cos,4
release_month_sin,1
gap_real_week_2to1,0
round_idx,0
gap_real_week_1tocurrent,0
is_restricted,0
