模型,MAE,RMSE,R²
Linear Regression,318000.74089216813,766924.5251383951,0.48965873752703337
LightGBM,190156.5566104621,408181.1591538482,0.855435605761623
Decision Tree,219833.3703450736,820592.9723515025,0.41573345683106844
