gov_id,樣本數,總票房,平均票房,最大票房
29653,18,98637700.0,5479872.222222222,20411492.0
30717,20,96184221.0,4809211.05,36493327.0
30739,23,248086586.0,10786373.304347826,104683058.0
31794,5,151202550.0,30240510.0,47659807.0
