feature,importance
boxoffice_week_1,167
audience_week_1,116
screens_week_2,52
boxoffice_week_2,51
open_week1_boxoffice,50
film_length,44
open_week2_boxoffice,34
current_week_active_idx,33
screens_week_1,29
open_week1_days,21
audience_week_2,15
open_week1_boxoffice_daily_avg,14
release_month_sin,12
release_year,5
release_month_cos,3
gap_real_week_2to1,0
round_idx,0
gap_real_week_1tocurrent,0
is_restricted,0
