模型,MAE,RMSE,R²
Linear Regression,326849.8275222143,1011711.4120879776,-1.000763117288988
LightGBM,252814.2197696065,895248.8607533181,-0.5666425911447031
Decision Tree,181884.09612867536,535039.7846991596,0.4404298638172375
