gov_id,gov_title_zh,gov_title_en,region,rating_class,official_release_date_gov,publisher,film_length,director,actor_list,source_file,title_zh,release_round,is_re_release,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount
25044,之前的我們,PAST LIVES,美國,普遍級,2023-07-28,車庫娛樂股份有限公司,,席琳宋,劉台午; 約翰馬加羅; 葛麗塔李,25044_之前的我們.csv,之前的我們,3.0,True,2025-09-22,2025-10-19,28.0,4.0,2.0,153892.0,522.0,76946.0,261.0,97976.0,2025-09-22~2025-09-28,1.0,1.0,-0.429,0.0,0.0,False,上映中,2023-07-31,2025-10-29 14:03:59,2.0,7689129.0,211.0,349621.19
25045,鬼手鬼手 請開口,Talk to Me,英國,輔15級,2023-08-11,薩摩亞商雄讚股份有限公司台灣分公司,,麥可菲利浦; 丹尼菲利普,蘇菲魏爾德; 柔伊泰拉克斯; 喬伯德; 克里斯阿洛西奧,25045_鬼手鬼手 請開口.csv,鬼手鬼手 請開口,3.0,True,2025-09-15,2025-10-12,28.0,4.0,3.0,44381.0,158.0,14793.67,52.67,16671.0,2025-09-15~2025-09-21,1.0,1.0,-0.136,-0.025,-0.076,False,下檔,2023-08-14,2025-10-29 14:03:59,2.0,4515713.0,652.0,323871.73
26305,夢行者保羅,DREAM SCENARIO,美國,輔12級,2023-12-04,車庫娛樂股份有限公司,,克里斯多佛博格利,麥可塞拉; 狄倫貝克; 尼可拉斯凱吉; 茱莉安娜妮克遜,26305_夢行者保羅.csv,夢行者保羅,2.0,True,2025-09-15,2025-10-19,35.0,5.0,3.0,41074.0,153.0,13691.33,51.0,18000.0,2025-09-29~2025-10-05,1.0,1.0,0.766,0.0,0.0,False,上映中,2023-12-04,2025-10-29 14:03:59,1.0,2743366.0,603.0,391909.43
26439,鬼才之道,Dead Talents Society,中華民國,輔12級,2024-08-07,牽猴子股份有限公司,,徐漢強,百白; 陳柏霖; 張榕容; 王淨; 曾威豪; 姚以緹,26439_鬼才之道.csv,鬼才之道,2.0,True,2025-08-11,2025-09-07,28.0,4.0,2.0,64800.0,288.0,32400.0,144.0,47200.0,2025-09-01~2025-09-07,2.0,1.5,1.682,0.0,0.0,False,下檔,2024-08-12,2025-10-29 14:03:59,1.0,46180628.0,155.0,1649308.14
26514,紅豬,Porco Rosso,日本,普遍級,2024-01-01,香港商甲上娛樂有限公司台灣分公司,,宮崎駿,岡村明美; 上條恆彥; 桂三枝; 森山周一郎; 加藤登紀子,26514_紅豬.csv,紅豬,2.0,True,2025-09-01,2025-10-19,49.0,7.0,7.0,11458379.0,42785.0,1636911.29,6112.14,6081169.0,2025-09-01~2025-09-07,88.0,55.57,-0.427,-0.575,-0.882,False,上映中,2024-10-14,2025-10-29 14:03:59,1.0,105460.0,281.0,26365.0
26625,貓王與我,PRISCILLA,美國,保護級,2024-01-26,車庫娛樂股份有限公司,,蘇菲亞柯波拉,卡莉史派妮; 雅各艾洛迪,26625_貓王與我.csv,貓王與我,1.0,False,2024-01-29,2024-03-03,35.0,5.0,5.0,278141.0,1169.0,55628.2,233.8,243296.0,2024-01-29~2024-02-04,63.0,19.2,-0.884,-0.656,-0.57,False,下檔,2024-01-29,2025-10-29 14:03:59,0.0,0.0,0.0,0.0
26779,夢想集中營,THE ZONE OF INTEREST,英國,保護級,2024-02-23,車庫娛樂股份有限公司,,強納森葛雷瑟,桑德拉惠勒; 克里斯欽佛里德,26779_夢想集中營.csv,夢想集中營,1.0,False,2024-02-26,2024-04-28,63.0,9.0,9.0,2349460.0,9285.0,261051.11,1031.67,1033328.0,2024-02-26~2024-03-03,61.0,24.22,-0.502,-0.439,-0.866,False,下檔,2024-02-26,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
27106,河鰻,EEL,中華民國,輔15級,2025-10-03,底噪影像有限公司,,朱駿騰,柯泯薰; 潘綱大,27106_河鰻.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
27343,帝國浩劫：美國內戰,CIVIL WAR,美國,輔15級,2024-04-29,車庫娛樂股份有限公司,,艾力克斯嘉蘭,華格納莫拉; 卡莉史派妮; 尼克奧佛曼; 克絲汀鄧斯特; 史蒂芬亨德森,27343_帝國浩劫：美國內戰.csv,帝國浩劫：美國內戰,2.0,True,2025-09-15,2025-10-19,35.0,5.0,3.0,38762.0,139.0,12920.67,46.33,13620.0,2025-10-13~2025-10-19,1.0,1.0,0.181,0.0,0.0,False,上映中,2024-04-29,2025-10-29 14:04:00,1.0,22573750.0,435.0,2257375.0
27899,96分鐘,96 MINUTES,中華民國,輔12級,2025-09-05,華影國際影藝有限公司,,洪子烜,林柏宏; 王柏傑; 宋芸樺; 李李仁,27899_96分鐘.csv,96分鐘,1.0,False,2025-09-08,2025-10-26,49.0,7.0,7.0,178021771.0,640838.0,25431681.57,91548.29,39730790.0,2025-09-15~2025-09-21,94.0,93.0,0.019,0.022,-0.127,False,上映中,2025-09-08,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
29081,粗獷派建築師,THE BRUTALIST,美國,輔12級,2025-02-27,美商美國環球影片股份有限公司台灣分公司,,布拉迪科貝特,費莉絲蒂瓊斯; 喬歐文; 史黛西馬汀; 亞歷桑德羅尼沃拉; 安卓亞布洛迪; 拉菲卡西迪; 蓋皮爾斯,29081_粗獷派建築師.csv,粗獷派建築師,1.0,False,2025-03-03,2025-06-01,91.0,13.0,12.0,4764956.0,16669.0,397079.67,1389.08,2059465.0,2025-03-03~2025-03-09,41.0,14.83,-0.446,-0.291,0.0,True,下檔,2025-03-03,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
29111,台灣超人,Taiwan Unsung Hero,中華民國,普遍級,2024-12-06,牽猴子股份有限公司,,曲全立,,29111_台灣超人.csv,台灣超人,1.0,False,2024-12-09,2025-10-19,315.0,45.0,39.0,25818694.0,108324.0,662017.79,2777.54,2680018.0,2025-01-13~2025-01-19,70.0,17.26,-0.329,2.14,0.0,True,上映中,2024-12-09,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
29378,我家的事,Family Matters,中華民國,保護級,2025-09-12,酷映有影工作室有限公司,,潘客印,曾敬驊; 高伊玲; 藍葦華; 黃珮琪,29378_我家的事.csv,我家的事,1.0,False,2025-09-15,2025-10-26,42.0,6.0,6.0,7258025.0,28256.0,1209670.83,4709.33,3264678.0,2025-09-15~2025-09-21,66.0,45.83,-0.534,-0.342,-0.694,False,上映中,2025-09-15,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
29380,失明,Blind Love,中華民國,輔15級,2025-09-19,周子娛樂有限公司,,周美豫,王渝萱; 李銘忠; 吳可熙; 林依晨; 劉敬; 李沐,29380_失明.csv,失明,1.0,False,2025-09-22,2025-10-26,35.0,5.0,5.0,1197641.0,4733.0,239528.2,946.6,796644.0,2025-09-22~2025-09-28,71.0,29.0,-0.585,-0.683,-0.838,False,上映中,2025-09-22,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
