gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,momentum_3w,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount,same_class_amount_last_week,market_heat_level
27106,河鰻,1,False,2025-10-03,2025-09-29,2025-11-02,35,5,5,739058.0,2713.0,147811.6,542.6,418336.0,2025-09-29~2025-10-05,14,9.2,-0.819,-0.671,0.083,-0.437,False,上映中,2025-09-29,2025-11-03 11:04:38,-0.969,9.61,4,1,衰退,需行動,272.41,0,0.0,0,0.0,0,D
27343,帝國浩劫：美國內戰,2,True,2024-04-29,2025-09-15,2025-10-19,35,5,3,38762.0,139.0,12920.67,46.33,13620.0,2025-10-13~2025-10-19,1,1.0,0.181,0.09,0.0,0.0,False,下檔,2024-04-29,2025-11-03 11:04:38,0.182,0.0,0,3,穩定,正常,278.86,1,22573750.0,435,2257375.0,0,E
27899,96分鐘,1,False,2025-09-05,2025-09-01,2025-11-02,63,9,9,196353314.0,708850.0,21817034.89,78761.11,39730790.0,2025-09-15~2025-09-21,94,92.56,0.0,-0.046,2.067,-0.826,False,上映中,2025-09-01,2025-11-03 11:04:38,-0.848,8.79,6,5,衰退,需行動,277.0,0,0.0,0,0.0,0,A
29081,粗獷派建築師,2,True,2025-02-27,2025-09-29,2025-10-19,21,3,3,110178.0,366.0,36726.0,122.0,46838.0,2025-10-13~2025-10-19,1,1.0,0.053,0.248,0.165,0.442,False,下檔,2025-02-24,2025-11-03 11:04:38,0.518,0.0,0,3,成長中,正常,301.03,1,6340754.0,120,487750.31,0,E
29111,台灣超人,2,True,2024-12-06,2025-08-11,2025-09-28,49,7,6,370440.0,1628.0,61740.0,271.33,93080.0,2025-08-18~2025-08-24,5,2.33,0.477,-0.125,0.518,-0.219,False,下檔,2024-12-02,2025-11-03 11:04:38,2.027,1.49,1,5,成長中,正常,227.54,1,27387382.0,15,829920.67,0,D
29378,我家的事,1,False,2025-09-12,2025-09-08,2025-11-02,56,8,8,9928017.0,38331.0,1241002.12,4791.38,3264678.0,2025-09-15~2025-09-21,66,43.38,-0.471,-0.418,1.556,-0.772,False,上映中,2025-09-08,2025-11-03 11:04:38,-0.93,9.39,6,2,衰退,需行動,259.01,0,0.0,0,0.0,0,B
29380,失明,1,False,2025-09-19,2025-09-15,2025-11-02,49,7,7,2419129.0,9391.0,345589.86,1341.57,1220588.0,2025-09-15~2025-09-21,71,31.0,-0.72,-0.71,-0.072,-0.464,False,上映中,2025-09-15,2025-11-03 11:04:38,-0.913,9.61,6,2,衰退,需行動,257.6,0,0.0,0,0.0,0,C
29513,異教詭屋,2,True,2024-11-29,2025-09-15,2025-10-19,35,5,3,45506.0,160.0,15168.67,53.33,16960.0,2025-10-13~2025-10-19,1,1.0,-0.061,0.083,0.0,0.0,False,下檔,2024-11-25,2025-11-03 11:04:38,0.152,0.0,0,3,穩定,正常,284.41,1,3976777.0,239,497097.12,0,E
29611,交換禮物,1,False,2024-12-25,2024-12-23,2025-10-26,308,44,40,8472157.0,34406.0,211803.92,860.15,1470683.0,2024-12-30~2025-01-05,55,9.62,-0.153,-0.248,0.161,0.0,True,上映中,2024-12-23,2025-11-03 11:04:38,1.531,0.0,1,3,成長中,正常,246.24,0,0.0,0,0.0,0,B
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,2,True,2025-01-03,2025-06-23,2025-07-13,21,3,2,15790.0,70.0,7895.0,35.0,8970.0,2025-06-23~2025-06-29,1,1.0,-0.24,0.0,0.0,0.0,False,下檔,2024-12-30,2025-11-03 11:04:38,0.0,0.0,1,2,穩定,正常,225.57,1,144173767.0,36,7208688.35,0,E
29831,乖女孩,2,True,2025-01-17,2025-09-22,2025-10-19,28,4,3,52527.0,189.0,17509.0,63.0,20190.0,2025-10-13~2025-10-19,1,1.0,-0.351,0.118,-0.117,0.0,False,下檔,2025-01-13,2025-11-03 11:04:38,0.03,0.0,0,3,穩定,正常,277.92,1,5232729.0,190,581414.33,0,E
29882,進行曲,1,False,2025-08-29,2025-08-25,2025-11-02,70,10,10,9878157.0,38900.0,987815.7,3890.0,2629324.0,2025-08-25~2025-08-31,81,37.0,-0.602,-0.409,0.012,-0.859,False,上映中,2025-08-25,2025-11-03 11:04:38,-0.904,8.73,2,3,衰退,需行動,253.94,0,0.0,0,0.0,0,B
30021,辛辛監獄劇團,2,True,2025-02-21,2025-09-15,2025-10-19,35,5,3,62087.0,230.0,20695.67,76.67,27960.0,2025-09-15~2025-09-21,1,1.0,-0.423,-0.154,0.0,0.0,False,下檔,2025-02-17,2025-11-03 11:04:38,-0.357,0.0,0,3,衰退,正常,269.94,1,293131.0,183,73282.75,0,E
30062,鬼吹簫,1,False,2025-10-09,2025-10-06,2025-11-02,28,4,4,401685.0,1588.0,100421.25,397.0,263012.0,2025-10-06~2025-10-12,52,27.75,-0.722,-0.808,-0.554,-0.77,False,上映中,2025-10-06,2025-11-03 11:04:38,-0.984,9.85,3,1,衰退,需行動,252.95,0,0.0,0,0.0,0,D
30155,QUEER,1,False,2025-03-21,2025-03-17,2025-05-11,56,8,8,1795973.0,7128.0,224496.62,891.0,715372.0,2025-03-24~2025-03-30,28,13.0,-0.495,-0.59,0.123,-0.086,False,下檔,2025-03-17,2025-11-03 11:04:38,-0.464,4.77,6,2,衰退,注意,251.96,0,0.0,0,0.0,0,C
30366,取精急轉彎,1,False,2025-04-25,2025-04-21,2025-06-22,63,9,9,14073573.0,51991.0,1563730.33,5776.78,6642009.0,2025-04-21~2025-04-27,53,28.33,-0.708,-0.611,-0.58,-0.76,False,下檔,2025-04-21,2025-11-03 11:04:38,-0.973,9.85,8,2,衰退,需行動,270.69,0,0.0,0,0.0,0,A
30436,泣聲驚魂,1,False,2025-05-09,2025-05-05,2025-05-25,21,3,3,80162.0,315.0,26720.67,105.0,47101.0,2025-05-05~2025-05-11,15,11.0,-0.709,-0.837,-0.429,-0.966,False,下檔,2025-05-05,2025-11-03 11:04:38,-0.977,0.0,2,2,衰退,正常,254.48,0,0.0,0,0.0,0,E
30497,沈睡的水下巨人,1,False,2025-04-25,2025-04-21,2025-07-06,77,11,11,2697918.0,10849.0,245265.27,986.27,1034306.0,2025-04-28~2025-05-04,30,12.27,-0.354,-0.466,5.348,-0.416,True,下檔,2025-04-21,2025-11-03 11:04:38,24.091,5.86,1,2,成長中,注意,248.68,0,0.0,0,0.0,0,C
30530,守護我們的星球,1,False,2025-05-23,2025-05-19,2025-10-26,161,23,22,7907943.0,31912.0,359451.95,1450.55,923159.0,2025-05-19~2025-05-25,41,12.55,-0.653,-0.245,0.812,-0.831,True,上映中,2025-05-19,2025-11-03 11:04:38,2.023,5.33,1,8,成長中,注意,247.8,0,0.0,0,0.0,0,B
30560,長椅小情歌,1,False,2025-07-18,2025-07-14,2025-10-26,105,15,15,2165856.0,8678.0,144390.4,578.53,504818.0,2025-07-21~2025-07-27,23,7.07,-0.479,-0.336,-0.163,-0.514,True,上映中,2025-07-14,2025-11-03 11:04:38,-0.835,7.25,2,4,衰退,需行動,249.58,0,0.0,0,0.0,0,C
30636,怪譚搜索,1,False,2025-06-06,2025-06-02,2025-07-06,35,5,5,155607.0,600.0,31121.4,120.0,86273.0,2025-06-02~2025-06-08,22,9.8,-0.681,-0.704,-0.451,-0.569,False,下檔,2025-06-02,2025-11-03 11:04:38,-0.775,9.71,4,2,衰退,需行動,259.35,0,0.0,0,0.0,0,D
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,1,False,2025-05-09,2025-05-05,2025-06-22,49,7,7,7470120.0,12561.0,1067160.0,1794.43,3037450.0,2025-05-05~2025-05-11,31,17.71,-0.617,-0.598,-0.479,-0.842,False,下檔,2025-05-05,2025-11-03 11:04:38,-0.912,9.57,6,2,衰退,需行動,594.71,0,0.0,0,0.0,0,B
30676,我們意外的勇氣,1,False,2025-10-02,2025-09-29,2025-11-02,35,5,4,3249101.0,12331.0,812275.25,3082.75,2183741.0,2025-10-20~2025-10-26,79,40.0,0.846,5.857,4.181,-0.584,False,上映中,2025-09-29,2025-11-03 11:04:38,6.622,0.0,1,1,成長中,正常,263.49,0,0.0,0,0.0,0,B
30699,此刻的我們,2,True,2025-05-16,2025-09-22,2025-10-12,21,3,3,17400.0,232.0,5800.0,77.33,7875.0,2025-09-29~2025-10-05,1,1.0,0.129,-0.274,-0.182,-0.676,False,下檔,2025-05-12,2025-11-03 11:04:38,-0.634,0.0,1,2,衰退,正常,75.0,1,399573.0,99,79914.6,0,E
30704,造山者－世紀的賭注,1,False,2025-06-13,2025-06-09,2025-11-02,147,21,21,32014228.0,128323.0,1524487.05,6110.62,3858264.0,2025-06-23~2025-06-29,59,27.43,-0.438,-0.221,-0.012,0.173,True,上映中,2025-06-09,2025-11-03 11:04:38,-0.297,0.7,0,7,衰退,正常,249.48,0,0.0,0,0.0,0,A
