gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount
29111,台灣超人,1,False,2024-12-06,2024-12-09,2025-10-19,315,45,39,25818694.0,108324.0,662017.79,2777.54,2680018.0,2025-01-13~2025-01-19,70,17.26,-0.329,2.14,0.0,True,上映中,2024-12-09,2025-10-29 12:08:36,0,0.0,0,0.0
29378,我家的事,1,False,2025-09-12,2025-09-15,2025-10-26,42,6,6,7258025.0,28256.0,1209670.83,4709.33,3264678.0,2025-09-15~2025-09-21,66,45.83,-0.534,-0.342,-0.694,False,上映中,2025-09-15,2025-10-29 12:08:36,0,0.0,0,0.0
29380,失明,1,False,2025-09-19,2025-09-22,2025-10-26,35,5,5,1197641.0,4733.0,239528.2,946.6,796644.0,2025-09-22~2025-09-28,71,29.0,-0.585,-0.683,-0.838,False,上映中,2025-09-22,2025-10-29 12:08:36,0,0.0,0,0.0
29513,異教詭屋,2,True,2024-11-29,2025-09-15,2025-10-19,35,5,3,45506.0,160.0,15168.67,53.33,16960.0,2025-10-13~2025-10-19,1,1.0,-0.061,0.0,0.0,False,上映中,2024-12-02,2025-10-29 12:08:36,1,2448230.0,239,349747.14
29611,交換禮物,1,False,2024-12-25,2024-12-30,2025-10-26,301,43,39,7232556.0,29322.0,185450.15,751.85,1470683.0,2024-12-30~2025-01-05,54,8.46,-0.342,0.133,0.0,True,上映中,2024-12-30,2025-10-29 12:08:36,0,0.0,0,0.0
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,2,True,2025-01-03,2025-06-23,2025-07-13,21,3,2,15790.0,70.0,7895.0,35.0,8970.0,2025-06-23~2025-06-29,1,1.0,-0.24,0.0,0.0,False,下檔,2025-01-06,2025-10-29 12:08:36,1,122276604.0,36,6435610.74
29831,乖女孩,2,True,2025-01-17,2025-09-22,2025-10-19,28,4,3,52527.0,189.0,17509.0,63.0,20190.0,2025-10-13~2025-10-19,1,1.0,-0.351,-0.117,0.0,False,上映中,2025-01-20,2025-10-29 12:08:36,1,3760634.0,190,470079.25
29882,進行曲,1,False,2025-08-29,2025-09-01,2025-10-26,56,8,8,7229873.0,28416.0,903734.12,3552.0,2440679.0,2025-09-01~2025-09-07,81,36.0,-0.162,-0.216,-0.322,False,上映中,2025-09-01,2025-10-29 12:08:36,0,0.0,0,0.0
30021,辛辛監獄劇團,2,True,2025-02-21,2025-09-15,2025-10-19,35,5,3,62087.0,230.0,20695.67,76.67,27960.0,2025-09-15~2025-09-21,1,1.0,-0.423,0.0,0.0,False,上映中,2025-02-24,2025-10-29 12:08:36,1,158532.0,183,52844.0
30155,QUEER,1,False,2025-03-21,2025-03-24,2025-05-11,49,7,7,1188680.0,4777.0,169811.43,682.43,715372.0,2025-03-24~2025-03-30,28,10.86,-0.619,-0.35,-0.086,False,下檔,2025-03-24,2025-10-29 12:08:36,0,0.0,0,0.0
30366,取精急轉彎,1,False,2025-04-25,2025-04-28,2025-06-22,56,8,8,7431564.0,27325.0,928945.5,3415.62,4519567.0,2025-04-28~2025-05-04,53,25.62,-0.628,-0.652,-0.76,False,下檔,2025-04-28,2025-10-29 12:08:36,0,0.0,0,0.0
30497,沈睡的水下巨人,1,False,2025-04-25,2025-04-28,2025-07-06,70,10,10,2011708.0,8087.0,201170.8,808.7,1034306.0,2025-04-28~2025-05-04,30,10.5,-0.623,4.379,-0.416,False,下檔,2025-04-28,2025-10-29 12:08:36,0,0.0,0,0.0
30530,守護我們的星球,1,False,2025-05-23,2025-05-26,2025-10-26,154,22,21,6984784.0,28344.0,332608.76,1349.71,887446.0,2025-06-02~2025-06-08,37,11.19,0.187,0.794,-0.831,True,上映中,2025-05-26,2025-10-29 12:08:36,0,0.0,0,0.0
30560,長椅小情歌,1,False,2025-07-18,2025-07-21,2025-10-26,98,14,14,1750310.0,7217.0,125022.14,515.5,504818.0,2025-07-21~2025-07-27,23,5.93,-0.165,-0.175,-0.514,True,上映中,2025-07-21,2025-10-29 12:08:36,0,0.0,0,0.0
30636,怪譚搜索,1,False,2025-06-06,2025-06-09,2025-07-06,28,4,4,69334.0,268.0,17333.5,67.0,64214.0,2025-06-09~2025-06-15,22,6.75,-0.954,-0.564,-0.569,False,下檔,2025-06-09,2025-10-29 12:08:36,0,0.0,0,0.0
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,3,True,2025-05-09,2025-09-15,2025-10-12,28,4,2,151500.0,242.0,75750.0,121.0,82500.0,2025-09-15~2025-09-21,1,1.0,-0.164,0.0,0.0,False,下檔,2025-05-12,2025-10-29 12:08:36,1,4498120.0,64,642588.57
30699,此刻的我們,2,True,2025-05-16,2025-09-22,2025-10-12,21,3,3,17400.0,232.0,5800.0,77.33,7875.0,2025-09-29~2025-10-05,1,1.0,0.129,-0.182,-0.676,False,下檔,2025-05-19,2025-10-29 12:08:36,1,240013.0,99,60003.25
30704,造山者－世紀的賭注,1,False,2025-06-13,2025-06-16,2025-10-26,133,19,19,29012911.0,116609.0,1526995.32,6137.32,3858264.0,2025-06-23~2025-06-29,59,27.21,0.06,-0.086,-0.401,True,上映中,2025-06-16,2025-10-29 12:08:36,0,0.0,0,0.0
30717,馴龍高手,1,False,2025-06-07,2025-06-09,2025-10-26,140,20,20,130720037.0,435429.0,6536001.85,21771.45,36493327.0,2025-06-16~2025-06-22,95,38.05,0.057,2.219,7.589,True,上映中,2025-06-09,2025-10-29 12:08:36,0,0.0,0,0.0
30738,星際寶貝：史迪奇,1,False,2025-05-22,2025-05-26,2025-10-19,147,21,20,75921984.0,280450.0,3796099.2,14022.5,31225707.0,2025-05-26~2025-06-01,95,32.45,-0.414,-0.228,-0.696,True,上映中,2025-05-26,2025-10-29 12:08:36,0,0.0,0,0.0
30739,不可能的任務：最終清算,1,False,2025-05-17,2025-05-19,2025-10-26,161,23,23,380988305.0,1233179.0,16564708.91,53616.48,132919944.0,2025-05-19~2025-05-25,95,41.3,-0.212,-0.174,-0.442,True,上映中,2025-05-19,2025-10-29 12:08:36,0,0.0,0,0.0
30808,滿血復活,2,True,2025-05-27,2025-09-15,2025-10-26,42,6,3,45802.0,160.0,15267.33,53.33,19160.0,2025-10-20~2025-10-26,1,1.0,-0.355,0.0,0.0,False,上映中,2025-06-02,2025-10-29 12:08:36,1,2892113.0,29,289211.3
30809,名偵探柯南 獨眼的殘像,1,False,2025-06-25,2025-06-30,2025-10-26,119,17,17,143213908.0,519667.0,8424347.53,30568.65,56906148.0,2025-06-30~2025-07-06,97,46.76,-0.45,-0.091,-0.489,True,上映中,2025-06-30,2025-10-29 12:08:36,0,0.0,0,0.0
30863,我家妹妹不准嫁,1,False,2025-06-06,2025-06-09,2025-06-29,21,3,3,687026.0,2620.0,229008.67,873.33,357749.0,2025-06-09~2025-06-15,22,17.0,-0.275,-0.475,-0.73,False,下檔,2025-06-09,2025-10-29 12:08:36,0,0.0,0,0.0
30960,28年毀滅倒數,2,True,2025-06-17,2025-09-15,2025-10-12,28,4,4,114850.0,939.0,28712.5,234.75,51875.0,2025-09-29~2025-10-05,2,1.75,2.213,0.543,-0.618,False,下檔,2025-06-23,2025-10-29 12:08:36,1,8559988.0,29,1069998.5
31027,F1電影,1,False,2025-06-24,2025-06-30,2025-10-26,119,17,17,495669826.0,1532434.0,29157048.59,90143.18,96016586.0,2025-06-30~2025-07-06,95,74.47,-0.135,-0.239,-0.2,True,上映中,2025-06-30,2025-10-29 12:08:36,0,0.0,0,0.0
31037,暗影部隊,1,False,2025-10-03,2025-10-06,2025-10-26,21,3,3,564152.0,2355.0,188050.67,785.0,524963.0,2025-10-06~2025-10-12,62,30.67,-0.93,-0.704,-0.933,False,上映中,2025-10-06,2025-10-29 12:08:36,0,0.0,0,0.0
31082,地球特派員,1,False,2025-07-02,2025-07-07,2025-10-26,112,16,16,36490447.0,140981.0,2280652.94,8811.31,12229929.0,2025-07-14~2025-07-20,91,35.25,0.04,12.328,0.055,True,上映中,2025-07-07,2025-10-29 12:08:36,0,0.0,0,0.0
